所在縣市,識別碼,栓位X坐標(TWD97),栓位Y坐標(TWD97),消防栓形態(種類編碼)
南投縣,4.46008E+20,216967.826,2627502.378,4
南投縣,4.46008E+20,217410.554,2627398.288,4
南投縣,4.46008E+20,217600.889,2627804.769,4
南投縣,4.46008E+20,217672.658,2627873.392,4
南投縣,4.46008E+20,217730.791,2627781.504,4
南投縣,4.46008E+20,217473.499,2627673.179,4
南投縣,4.46008E+20,217406.23,2627543.525,4
南投縣,4.46008E+20,216962.017,2627845.249,4
南投縣,4.46008E+20,217433.084,2627375.166,4
南投縣,4.46008E+20,217193.645,2627619.218,4
南投縣,4.46008E+20,217502.177,2627392.039,4
南投縣,4.46008E+20,216834.688,2627595.605,4
南投縣,4.46008E+20,217243.804,2627697.373,4
南投縣,4.46008E+20,217186.291,2627177.088,4
南投縣,4.46008E+20,216897.432,2627458.833,4
南投縣,4.46008E+20,217014.127,2627527.341,4
南投縣,4.46008E+20,217149.637,2627728.917,4
南投縣,4.46008E+20,217174.157,2627429.426,4
南投縣,4.46008E+20,217345.536,2627435.981,4
南投縣,4.46008E+20,217466.843,2627355.63,0
南投縣,4.46008E+20,217614.254,2627325.237,4
南投縣,4.46008E+20,217678.524,2627354.806,4
南投縣,4.46008E+20,217408.886,2627762.515,4
南投縣,4.46008E+20,217267.113,2627501.628,4
南投縣,4.46008E+20,217097.784,2627565.504,4
南投縣,4.46008E+20,217054.037,2627693.249,4
南投縣,4.46008E+20,217051.361,2627772.867,4
南投縣,4.46008E+20,216936.952,2627605.595,4
南投縣,4.46008E+20,216914.963,2627728.289,4
南投縣,4.46008E+20,217554.799,2627339.378,4
南投縣,4.46008E+20,217289.917,2627336.314,4
南投縣,4.46008E+20,217218.543,2627378.188,4
南投縣,4.46008E+20,217132.627,2627254.214,4
南投縣,4.46008E+20,217528.163,2627245.931,4
南投縣,4.46008E+20,217079.934,2627350.768,4
南投縣,4.46008E+20,217971.774,2627889.875,4
南投縣,4.46008E+20,217756.396,2627951.83,4
南投縣,4.46008E+20,217811.083,2627858.902,4
南投縣,4.46008E+20,217944.242,2628525.139,4
南投縣,4.46008E+20,217711.573,2628479.487,4
南投縣,4.46008E+20,217672.722,2628337.568,4
南投縣,4.46008E+20,217757.676,2628203.257,4
南投縣,4.46008E+20,217808.248,2628124.028,4
南投縣,4.46008E+20,217863.122,2628037.267,4
南投縣,4.46008E+20,217941.483,2627936.768,4
南投縣,4.46008E+20,218050.108,2628013.852,4
南投縣,4.46008E+20,218058.917,2628391.114,4
南投縣,4.46008E+20,217880.199,2628589.431,4
南投縣,4.46008E+20,217997.827,2628109.699,4
南投縣,4.46008E+20,217567.76,2628256.815,4
南投縣,4.46008E+20,217655.149,2628122.824,4
南投縣,4.46008E+20,217886.967,2628279.196,4
南投縣,4.46008E+20,217990.72,2628346.094,4
南投縣,4.46008E+20,217827.432,2628490.186,4
南投縣,4.46008E+20,217932.552,2628188.124,4
南投縣,4.46008E+20,221728.842,2628799.07,4
南投縣,4.46008E+20,220527.006,2630122.888,0
南投縣,4.46008E+20,219887.453,2629328.128,4
南投縣,4.46008E+20,221086.162,2629161.676,4
南投縣,4.46008E+20,220121.566,2629132.09,4
南投縣,4.46008E+20,220608.439,2629045.442,4
南投縣,4.46008E+20,220115.732,2629369.346,4
南投縣,4.46008E+20,220168.151,2629623.489,4
南投縣,4.46008E+20,219918.084,2629440.773,4
南投縣,4.46008E+20,221711.617,2628804.021,4
南投縣,4.46008E+20,219776.329,2629580.177,4
南投縣,4.46008E+20,220925.347,2630649.367,4
南投縣,4.46008E+20,220943.706,2629242.541,4
南投縣,4.46008E+20,219349.484,2629384.156,4
南投縣,4.46008E+20,219939.574,2629519.773,4
南投縣,4.46008E+20,219874.587,2629321.38,4
南投縣,4.46008E+20,219906.123,2629441.104,4
南投縣,4.46008E+20,219848.302,2629224.946,4
南投縣,4.46008E+20,220625.776,2629152.325,4
南投縣,4.46008E+20,220275.584,2630067.925,4
南投縣,4.46008E+20,220767.276,2628834.603,4
南投縣,4.46008E+20,219479.287,2629497.796,4
南投縣,4.46008E+20,220124.805,2629457.542,4
南投縣,4.46008E+20,220172.493,2630087.182,4
南投縣,4.46008E+20,220323.013,2630137.414,4
南投縣,4.46008E+20,220646.51,2630719.968,4
南投縣,4.46008E+20,220055.485,2629913.917,4
南投縣,4.46008E+20,220084.711,2629264.08,4
南投縣,4.46008E+20,220301.287,2629139.532,4
南投縣,4.46008E+20,219714.666,2629385.588,4
南投縣,4.46008E+20,219756.116,2629495.955,4
南投縣,4.46008E+20,219604.304,2629434.989,4
南投縣,4.46008E+20,219626.052,2629558.813,4
南投縣,4.46008E+20,219420.463,2629349.399,4
南投縣,4.46008E+20,219558.611,2629309.704,4
南投縣,4.46008E+20,219977.367,2629648.409,4
南投縣,4.47005E+20,235573.68,2634338.78,4
南投縣,4.47005E+20,235279.298,2634386.473,4
南投縣,4.47005E+20,235230.52,2634139.669,4
南投縣,4.47005E+20,235293.213,2634158.578,4
南投縣,4.47005E+20,235781.47,2634187.362,4
南投縣,4.47005E+20,235640.759,2634395.154,4
南投縣,4.47005E+20,235504.025,2634440.626,4
南投縣,4.47005E+20,235358.088,2634320.694,4
南投縣,4.47005E+20,235684.644,2634358.023,4
南投縣,4.47005E+20,235719.738,2634292.148,4
南投縣,4.47005E+20,235564.72,2634360.08,4
南投縣,4.47005E+20,235791.967,2634063.599,4
南投縣,4.47005E+20,235747.668,2634157.609,4
南投縣,4.47005E+20,235239.339,2634516.109,4
南投縣,4.44004E+20,218348.994,2644303.896,4
南投縣,4.44004E+20,218447.344,2644321.799,4
南投縣,4.44004E+20,218224.945,2644445.362,4
南投縣,4.44004E+20,218143.569,2644552.235,4
南投縣,4.44004E+20,218297.363,2644122.912,4
南投縣,4.44004E+20,218376.162,2644672.525,4
