所在縣市,識別碼,栓位X坐標(TWD97),栓位Y坐標(TWD97),消防栓形態(種類編碼)
台南市,6.61001E+20,168351.909,2542451.966,4
台南市,6.61001E+20,168412.37,2543006.941,0
台南市,6.61001E+20,168274.276,2542971.267,0
台南市,6.61001E+20,168182.448,2542847.23,0
台南市,6.61001E+20,168301.605,2542841.613,0
台南市,6.61001E+20,168247.349,2542845.333,0
台南市,6.61001E+20,168244.118,2542582.208,2
台南市,6.61001E+20,168208.666,2542513.329,0
台南市,6.61001E+20,168273.431,2542513.222,0
台南市,6.61001E+20,168327.162,2542513.108,0
台南市,6.61001E+20,168160.245,2542515.612,4
台南市,6E+20,168341.258,2542952.645,5
台南市,6.61001E+20,168390.678,2542806.922,0
台南市,6.61001E+20,168359.859,2542536.882,2
台南市,6.61001E+20,168365.614,2542588.617,2
台南市,6.61001E+20,168377.492,2542691.988,2
台南市,6.61001E+20,168253.199,2542452.103,2
台南市,6.61001E+20,168376.168,2542911.652,0
台南市,6.61001E+20,168014.761,2543259.501,0
台南市,6.61001E+20,167790.306,2543419.347,4
台南市,6.61001E+20,167831.788,2543232.186,0
台南市,6.61001E+20,167936.686,2543297.119,0
台南市,6.61001E+20,168556.374,2542776.058,0
台南市,6.61001E+20,168435.595,2542490.095,4
台南市,6.61001E+20,168480.803,2542682.098,4
台南市,6.61001E+20,168499.873,2542635.794,4
台南市,6.61001E+20,168542.989,2542878.706,0
台南市,6.61001E+20,168614.938,2542813.958,0
台南市,6.61001E+20,168547.376,2542737.199,2
台南市,6.61001E+20,168549.19,2542632.117,0
台南市,6.61001E+20,168467.53,2542571.89,0
台南市,6.61001E+20,168539.415,2542560.88,2
台南市,6.61001E+20,168437.145,2542530.541,4
台南市,6.61001E+20,168418.073,2542906.588,2
台南市,6.61001E+20,168387.13,2542636.974,2
台南市,6.61001E+20,168398.423,2542735.178,2
台南市,6.61001E+20,169171.958,2543883.763,2
台南市,6.61001E+20,168969.742,2543989.691,2
台南市,6.61001E+20,168976.308,2543880.41,0
台南市,6.61001E+20,169043.606,2543896.53,0
台南市,6.61001E+20,168749.608,2543835.125,0
台南市,6.61001E+20,168952.055,2543796.641,0
台南市,6.61001E+20,168974.338,2543908.224,0
台南市,6.61001E+20,169065.093,2544081.65,0
台南市,6.61001E+20,169083.769,2543734.97,2
台南市,6.61001E+20,169107.798,2544086.53,0
台南市,6.61001E+20,169100.978,2543868.518,0
台南市,6.61001E+20,169116.306,2544074.157,0
台南市,6.61001E+20,169065.093,2544037.305,0
台南市,6.61001E+20,169018.257,2543823.992,4
台南市,6.61001E+20,169146.12,2544139.07,0
台南市,6.61001E+20,168878.11,2543907.69,0
台南市,6.61001E+20,168894.486,2543821.845,4
台南市,6.61001E+20,169002.928,2544012.196,0
台南市,6.61001E+20,168224.355,2544155.548,0
台南市,6.61001E+20,168167.599,2544020.815,2
台南市,6.61001E+20,168167.271,2544193.315,0
台南市,6.61001E+20,168132.651,2544292.818,0
台南市,6.61001E+20,168234.265,2544299.249,0
台南市,6.61001E+20,168080.151,2544207.814,0
台南市,6.61001E+20,168107.969,2544214.176,0
台南市,6.61001E+20,168172.65,2544372.142,4
台南市,6.61001E+20,168132.669,2544316.88,0
台南市,6.61001E+20,168052.451,2544333.349,0
台南市,6.61001E+20,168047.564,2544256.697,2
台南市,6.61001E+20,168013.282,2544181.478,2
台南市,6.61001E+20,168279.794,2544399.581,4
台南市,6.61001E+20,168101.109,2544461.564,2
台南市,6.61001E+20,168097.474,2544414.032,2
台南市,6.61001E+20,168203.892,2544427.558,0
台南市,6.61001E+20,168157.933,2544444.477,2
台南市,6.61001E+20,168023.695,2544059.505,2
台南市,6.61001E+20,167756.158,2542718.134,2
台南市,6.61001E+20,167825.567,2542717.721,2
台南市,6.61001E+20,167841.926,2542770.599,0
台南市,6.61001E+20,167942.579,2542770.51,0
台南市,6.61001E+20,167776.624,2542862.914,2
台南市,6.61001E+20,167778.961,2542583.265,0
台南市,6.61001E+20,167846.363,2542588.775,0
台南市,6.61001E+20,167934.996,2542679.209,0
台南市,6.61001E+20,167894.046,2542580.525,2
台南市,6.61001E+20,167832.122,2542680.629,0
台南市,6.61001E+20,167906.123,2542534.403,0
台南市,6.61001E+20,167905.554,2542511.026,0
