所在縣市,識別碼,栓位X坐標(TWD97),栓位Y坐標(TWD97),消防栓形態(種類編碼)
台東縣,1.04301E+21,273620.023,2557667.523,4
台東縣,1.04301E+21,272784.061,2558075.585,4
台東縣,1.04301E+21,272769.589,2558144.682,4
台東縣,1.04301E+21,273386.246,2558137.155,4
台東縣,1.04301E+21,273287.294,2557962.172,4
台東縣,1.047E+21,263580.513,2520986.296,4
台東縣,1.047E+21,263456.859,2521117.044,4
台東縣,1.047E+21,263459.716,2520947.391,4
台東縣,1.047E+21,263494.188,2520887.809,4
台東縣,1.047E+21,263290.132,2520742.663,4
台東縣,1.047E+21,263190.189,2520815.902,4
台東縣,1.047E+21,263251.985,2520698.154,4
台東縣,1.047E+21,263542.303,2520232.619,4
台東縣,1.047E+21,263257.961,2520571.966,4
台東縣,1.047E+21,263244.122,2520474.7,4
台東縣,1.047E+21,263368.928,2520489.858,4
台東縣,1.047E+21,263400.955,2520573.207,4
台東縣,1.047E+21,263259.213,2520349.115,0
台東縣,1.047E+21,263357.792,2520612.036,4
台東縣,1.04301E+21,272188.674,2557526.396,4
台東縣,1.04301E+21,271276.792,2557586.568,0
台東縣,1.04301E+21,270477.584,2556395.513,4
台東縣,1.04301E+21,269945.663,2558874.62,4
台東縣,1.04301E+21,270459.565,2555793.341,4
台東縣,1.04301E+21,270773.25,2556239.772,4
台東縣,1.04301E+21,270716.514,2556389.504,4
台東縣,1.04301E+21,269321.086,2558955.105,4
台東縣,1.04301E+21,269172.464,2558970.029,4
台東縣,1.04301E+21,269022.643,2558922.388,4
台東縣,1.04301E+21,269277.247,2558843.948,4
台東縣,1.04301E+21,269144.733,2558821.699,4
台東縣,1.04301E+21,271858.573,2557400.435,4
台東縣,1.04301E+21,272016.61,2557453.26,4
台東縣,1.047E+21,270618.268,2556319.902,4
台東縣,1.04301E+21,270936.297,2555514.999,4
台東縣,1.04301E+21,270810.949,2556488.67,4
台東縣,1.04301E+21,270908.585,2556430.286,4
台東縣,1.04301E+21,271038.423,2556629.242,4
台東縣,1.04301E+21,270904.417,2556680.687,4
台東縣,1.04301E+21,271235.757,2556907.285,4
台東縣,1.04301E+21,270914.307,2557042.965,4
台東縣,1.04301E+21,270920.837,2557413.583,4
台東縣,1.04301E+21,271070.067,2557182.861,4
台東縣,1.04301E+21,271897.028,2557282.866,4
台東縣,1.04301E+21,271765.876,2557250.436,4
台東縣,1.04301E+21,270540.074,2557550.356,0
台東縣,1.04301E+21,271011.755,2557266.243,4
台東縣,1.04301E+21,271075.037,2555804.877,4
台東縣,1.04301E+21,270618.183,2556017.005,4
台東縣,1.04301E+21,272174.089,2557593.559,4
台東縣,1.04301E+21,271158.752,2555976.027,4
台東縣,1.04301E+21,271763.475,2554526.169,4
台東縣,1.04301E+21,271689.533,2554473.755,4
台東縣,1.04301E+21,272555.072,2554609.945,4
台東縣,1.047E+21,259945.126,2522050.148,4
台東縣,1.047E+21,258860.01,2523533.943,4
台東縣,1.047E+21,259481.523,2522995.965,4
台東縣,1.047E+21,259885.447,2522435.893,4
台東縣,1.047E+21,259762.838,2522194.079,4
台東縣,1.047E+21,258919.618,2523658.866,4
台東縣,1.047E+21,259162.455,2523408.202,4
台東縣,1.047E+21,259425.486,2523162.133,4
台東縣,1.047E+21,259362.715,2523053.096,4
台東縣,1.047E+21,259602.426,2523018.297,4
台東縣,1.047E+21,259488.153,2523125.72,4
台東縣,1.047E+21,259870.319,2522261.715,4
台東縣,1.047E+21,259642.671,2522344.266,4
台東縣,1.047E+21,259789.15,2522529.126,4
台東縣,1.047E+21,260471,2521498.716,4
台東縣,1.047E+21,260536.504,2521578.576,0
台東縣,1.047E+21,259254.704,2522930.47,4
台東縣,1.047E+21,259755.52,2522436.654,4
台東縣,1.047E+21,261835.684,2521190.94,4
台東縣,1.047E+21,260980.416,2521233.024,4
台東縣,1.047E+21,261477.526,2520605.383,4
台東縣,1.047E+21,261438.466,2520872.491,4
台東縣,1.047E+21,261465.242,2520200.733,4
台東縣,1.047E+21,261163.619,2521056.385,4
台東縣,1.047E+21,261179.781,2521076.978,4
台東縣,1.047E+21,261612.682,2520348.066,4
台東縣,1.047E+21,261599.708,2520763.205,4
台東縣,1.047E+21,261593.12,2520889.555,4
台東縣,1.047E+21,261678.914,2520973.563,4
台東縣,1.047E+21,261773.421,2521092.579,4
台東縣,1.047E+21,261146.697,2521120.625,4
台東縣,1.04601E+21,241989.847,2484053.166,4
台東縣,1.04601E+21,242020.777,2483877.221,4
台東縣,1.04601E+21,242137.164,2483709.376,4
台東縣,1.04601E+21,241974.123,2484187.683,4
台東縣,1.04601E+21,242043.809,2484179.267,4
台東縣,1.04601E+21,242215.791,2484388.862,4
台東縣,1.04601E+21,242262.29,2484428.723,4
台東縣,1.04601E+21,242294.915,2484462.236,4
台東縣,1.04601E+21,241773.887,2479641.563,4
台東縣,1.04601E+21,242129.868,2479631.478,4
台東縣,1.04601E+21,242178.511,2484039.644,4
台東縣,1.04601E+21,249349.985,2499572.109,4
台東縣,1.04601E+21,250096.804,2500423.969,4
台東縣,1.04601E+21,250196.229,2500429.922,4
台東縣,1.047E+21,250289.474,2500762.036,4
台東縣,1.04601E+21,250296.691,2500500.365,4
台東縣,1.04601E+21,250556.476,2501190.866,4
台東縣,1.04601E+21,250284.49,2500599.268,4
台東縣,1.04601E+21,250070.419,2500446.702,4
台東縣,1.04601E+21,250384.96,2501193.383,4
台東縣,1.04601E+21,250260.387,2501301.363,4
台東縣,1.04601E+21,250279.838,2501333.928,4
台東縣,1.04601E+21,250299.972,2501390.406,4
台東縣,1.04601E+21,250486.948,2500872.575,4
台東縣,1.04601E+21,250583.699,2501033.759,4
台東縣,1.04601E+21,250513.111,2501092.044,4
台東縣,1.04601E+21,250655.724,2501360.638,4
台東縣,1.04601E+21,250467.626,2500995.63,4
台東縣,1.04601E+21,250435.707,2501253.226,4
台東縣,1.04601E+21,250482.535,2501228.688,4
台東縣,1.04601E+21,250494.201,2501346.186,4
台東縣,1.04601E+21,250519.199,2501088.822,4
台東縣,1.04601E+21,250472.918,2501114.056,4
台東縣,1.04601E+21,250978.076,2501942.741,4
台東縣,1.04601E+21,250780.77,2501613.819,4
台東縣,1.04601E+21,250794.709,2501830.295,0
台東縣,1.04601E+21,250476.631,2501631.766,4
台東縣,1.04601E+21,250565.512,2501417.351,4
台東縣,1.04601E+21,250536.272,2501587.99,4
台東縣,1.04601E+21,250517.765,2501492.444,4
台東縣,1.04601E+21,250648.319,2501510.394,4
台東縣,1.04601E+21,250405.78,2501704.769,4
台東縣,1.04601E+21,250546.258,2502054.918,0
台東縣,1.04601E+21,250847.745,2501706.723,4
台東縣,1.04601E+21,250778.625,2501433.525,4
台東縣,1.04601E+21,250799.608,2501722.327,4
台東縣,1.04601E+21,250632.783,2501960.647,0
台東縣,1.04601E+21,250371.785,2501286.042,4
台東縣,1.04601E+21,250338.871,2500877.936,4
台東縣,1.04601E+21,250231.445,2501174.224,4
台東縣,1.04601E+21,250310.581,2500491.335,4
台東縣,1.04601E+21,250574.418,2501055.919,4
台東縣,1.04601E+21,250878.764,2501781.51,4
台東縣,1.04601E+21,250762.374,2501433.327,4
台東縣,1.04601E+21,250299.551,2501164.135,4
台東縣,1.04601E+21,250142.329,2500490.118,4
台東縣,1.04601E+21,250137.786,2500389.219,4
台東縣,1.04601E+21,250050.566,2500324.768,4
台東縣,1.04601E+21,250167.05,2500655.73,4
台東縣,1.04601E+21,250158.276,2501431.255,4
台東縣,1.04601E+21,250403.753,2500855.694,4
台東縣,1.04601E+21,250594.959,2501249.469,4
台東縣,1.04601E+21,250743.473,2501633.267,4
台東縣,1.04601E+21,250739.262,2501494.898,4
台東縣,1.04601E+21,250561.899,2501762.072,4
台東縣,1.04601E+21,250904.068,2501775.761,4
台東縣,1.04601E+21,251041.811,2502078.393,4
台東縣,1.04601E+21,250176.616,2500835.621,0
台東縣,1.04601E+21,240303.706,2473199.04,4
台東縣,1.04601E+21,240023.797,2472927.825,4
台東縣,1.04601E+21,240294.305,2473767.789,4
台東縣,1.04601E+21,240114.243,2473027.903,4
台東縣,1.04601E+21,240458.123,2473761.619,4
台東縣,1.04601E+21,240379.583,2473306.249,4
台東縣,1.04601E+21,240225.493,2473142.859,4
台東縣,1.047E+21,240216.71,2473843.764,4
台東縣,1.04601E+21,237554.306,2473483.682,4
