所在縣市,識別碼,栓位X坐標(TWD97),栓位Y坐標(TWD97),消防栓形態(種類編碼)
嘉義市,5.61E+20,192335.589,2596490.957,0
嘉義市,5.61E+20,192366.911,2596633.329,0
嘉義市,5.61E+20,192321.148,2596400.681,0
嘉義市,5.61E+20,192182.912,2596302.205,0
嘉義市,5.61E+20,192598.228,2596497.229,0
嘉義市,5.61E+20,192416.926,2596467.958,0
嘉義市,5.61E+20,192368.177,2596343.97,0
嘉義市,5.61E+20,192216.502,2596384.66,0
嘉義市,05610001924596603_0001,192455.764,2596692.901,0
嘉義市,5.61E+20,192211.734,2596519.401,0
嘉義市,5.61E+20,192556.55,2596520.32,0
嘉義市,5.61E+20,192469.043,2596435.3,0
嘉義市,5.61E+20,192388.493,2596553.741,0
嘉義市,5.61E+20,192386.731,2596524.702,0
嘉義市,5.61E+20,192352.205,2596742.764,0
嘉義市,5.61E+20,192497.392,2596638.379,0
嘉義市,5.61E+20,192564.209,2596643.673,0
嘉義市,5.61E+20,192284.643,2596610.399,0
嘉義市,5.61E+20,192400.211,2596835.53,1
嘉義市,5.61E+20,194621.771,2595807.492,0
嘉義市,5.61E+20,194814.603,2595479.586,4
嘉義市,5.61E+20,194721.199,2595603.737,0
嘉義市,5.61E+20,194750.176,2595778.188,0
嘉義市,5.61E+20,194742.782,2595999.216,0
嘉義市,5.61E+20,194648.678,2596052.21,0
嘉義市,5.61E+20,195035.166,2595844.243,0
嘉義市,5.61E+20,194916.118,2595830.745,0
嘉義市,5.61E+20,194552.395,2595830.44,0
嘉義市,5.61E+20,194826.881,2595962.008,0
嘉義市,5.61E+20,194750.771,2595911.081,0
嘉義市,5.61E+20,194563.526,2596211.1,0
嘉義市,5.61E+20,194739.452,2595917.404,0
嘉義市,5.61E+20,194885.333,2595725.164,0
嘉義市,5.61E+20,194690.872,2595994.254,0
嘉義市,5.61E+20,194880.565,2595916.868,0
嘉義市,5.61E+20,194537.014,2595477.382,0
嘉義市,5.61E+20,194551.504,2595627.951,0
嘉義市,5.61E+20,194516.316,2596071.918,0
嘉義市,5.61E+20,194564.294,2596026.823,0
嘉義市,5.61E+20,194412.274,2596032.681,0
嘉義市,5.61E+20,194463.701,2596228.605,2
嘉義市,5.61E+20,194287.549,2596354.024,0
嘉義市,5.61E+20,194540.509,2596223.481,0
嘉義市,5.61E+20,194561.136,2595554.452,0
嘉義市,5.61E+20,194428.249,2596367.479,2
嘉義市,5.61E+20,194406.933,2596069.363,0
