所在縣市,識別碼,栓位X坐標(TWD97),栓位Y坐標(TWD97),消防栓形態(種類編碼)
嘉義縣,5.43008E+20,177003.047,2603746.716,0
嘉義縣,5.43008E+20,177033.906,2603550.186,0
嘉義縣,5.24009E+20,177189.51,2603188.609,0
嘉義縣,5.24009E+20,177298.14,2603192.239,0
嘉義縣,5.24009E+20,176350.529,2603067.81,0
嘉義縣,5.43008E+20,177086.992,2602674.663,0
嘉義縣,5.24009E+20,176916.618,2603152.351,0
嘉義縣,5.24009E+20,177232.634,2603268.768,0
嘉義縣,5.24009E+20,178123.625,2595918.082,0
嘉義縣,5.24009E+20,178497.232,2596044.885,0
嘉義縣,5.54008E+20,179011.225,2596033.977,0
嘉義縣,5.54008E+20,178467.886,2595871.915,0
嘉義縣,5.54008E+20,178419.302,2595631.368,0
嘉義縣,5.54008E+20,177510.857,2596425.492,0
嘉義縣,5.54008E+20,178159.118,2595870.132,0
嘉義縣,5.54008E+20,178202.337,2596082.8,0
嘉義縣,5.54008E+20,178850.382,2595899.747,0
嘉義縣,5.54008E+20,178813.365,2596083.962,0
嘉義縣,5.54008E+20,178387.78,2597401.143,0
嘉義縣,5.54008E+20,177927.163,2596385.815,0
嘉義縣,5.61E+20,191703.471,2595312.961,0
嘉義縣,5.61E+20,191125.1,2595345.556,4
嘉義縣,5.61E+20,191726.215,2595046.061,0
嘉義縣,5.61E+20,190872.049,2595291.651,0
嘉義縣,5.61E+20,190784.84,2594890.902,0
嘉義縣,5.61E+20,191019.624,2594810.83,0
嘉義縣,5.61E+20,190912.088,2594820.094,0
嘉義縣,5.61E+20,191317.759,2595185.565,0
嘉義縣,5.61E+20,190888.398,2594923.278,4
嘉義縣,5.41004E+20,178033.726,2586913.238,0
嘉義縣,5.41004E+20,178255.637,2587248.829,0
嘉義縣,5.41004E+20,178078.719,2587019.018,0
嘉義縣,5.41004E+20,178236.627,2587114.92,0
嘉義縣,5.41004E+20,178184.536,2586898.542,0
嘉義縣,5.41004E+20,178278.167,2586958.102,0
嘉義縣,5.41004E+20,178485.489,2587183.571,0
嘉義縣,5.41004E+20,178611.963,2587233.4,0
嘉義縣,5.23002E+20,178386.573,2587142.216,0
嘉義縣,5.43008E+20,177446.354,2603382.556,0
嘉義縣,5.43008E+20,177454.568,2603079.302,0
嘉義縣,5.43008E+20,177426.219,2603375.79,0
嘉義縣,5.54008E+20,177530.275,2603627.597,0
嘉義縣,5.24009E+20,178137.456,2603745.295,0
嘉義縣,5.24009E+20,177693.441,2604041.646,0
嘉義縣,5.43008E+20,178136.452,2603498.992,0
嘉義縣,5.43008E+20,178777.577,2604493.874,0
嘉義縣,5.43008E+20,177460.024,2602899.002,0
嘉義縣,5.61E+20,178080.744,2602199.974,0
嘉義縣,5.61E+20,178223.398,2602267.877,0
嘉義縣,5.61E+20,177523.601,2601808.441,0
嘉義縣,5.61E+20,178150.804,2602391.976,0
嘉義縣,5.43008E+20,177264.003,2601951.78,0
嘉義縣,5.43008E+20,177136.474,2602087.634,0
嘉義縣,5.24009E+20,177567.174,2599069.539,0
嘉義縣,5.43008E+20,177541.484,2599144.764,0
嘉義縣,5.61E+20,177642.016,2598962.988,0
嘉義縣,5.61E+20,177685.015,2599115.709,0
嘉義縣,5.43008E+20,177663.033,2599563.495,0
嘉義縣,5.24009E+20,177542.619,2598946.763,0
嘉義縣,5.24009E+20,177537.347,2598927.025,0
嘉義縣,5.61E+20,177641.435,2599966.011,0
嘉義縣,5.61E+20,177604.255,2599259.923,0
嘉義縣,5.61E+20,177678.487,2599282.502,0
嘉義縣,5.24009E+20,177627.164,2599213.843,0
嘉義縣,5.61E+20,177676.679,2599067.609,0
嘉義縣,5.43008E+20,176737.286,2599256.772,0
嘉義縣,5.43008E+20,177316.235,2599416.269,0
嘉義縣,5.43008E+20,177457.892,2599326.456,0
嘉義縣,5.43008E+20,177225.458,2599198.676,0
