所在縣市,識別碼,栓位X坐標(TWD97),栓位Y坐標(TWD97),消防栓形態(種類編碼)
基隆市,1.62003E+20,326126.52,2776487.89,4
基隆市,01620033260776203r0001,326069.472,2776275.53,4
基隆市,1.62003E+20,326094.611,2776402.088,4
基隆市,1.62003E+20,326098.768,2776263.036,4
基隆市,1.62003E+20,326090.568,2776125.202,4
基隆市,1.62003E+20,325977.776,2776025.803,4
基隆市,1.62003E+20,325239.43,2780493.045,0
基隆市,1.62003E+20,325221.541,2780441.783,2
基隆市,1.62003E+20,325145.103,2780427.309,2
基隆市,1.62003E+20,325293.119,2780726.027,4
基隆市,1.62003E+20,325175.153,2780532.122,4
基隆市,1.62003E+20,325245.817,2780647.395,4
基隆市,1.62003E+20,325243.952,2780367.916,0
基隆市,1.62003E+20,322948.831,2781665.634,4
基隆市,1.62003E+20,322846.973,2781762.091,4
基隆市,1.62003E+20,322982.422,2781713.813,4
基隆市,1.62003E+20,322939.789,2781731.205,4
基隆市,1.62003E+20,322498.618,2782508.02,4
基隆市,1.62003E+20,322938.46,2781662.066,4
基隆市,1.62003E+20,322852.997,2781688.75,4
基隆市,1.62003E+20,322660.218,2782243.769,4
基隆市,1E+20,322537.07,2782461.441,4
基隆市,1.62003E+20,322549.831,2782357.329,4
基隆市,1.62003E+20,322673.81,2782119.005,4
基隆市,1.62003E+20,322666.455,2782232.771,4
基隆市,1.62003E+20,322574.34,2782300.553,4
基隆市,1.62003E+20,324585.405,2780178.174,4
基隆市,1.62003E+20,324623.949,2780518.249,4
基隆市,1.62003E+20,324569.739,2780357.57,4
基隆市,1.12008E+20,324621.697,2780201.211,4
基隆市,1.62003E+20,324581.086,2780422.428,4
基隆市,1.62003E+20,324566.147,2780418.576,4
基隆市,1E+20,324770.632,2780316.33,4
基隆市,1E+20,324710.825,2780214.842,4
基隆市,1.62003E+20,324782.381,2780424.484,4
基隆市,1.12008E+20,324671.327,2780148.962,4
基隆市,1.62003E+20,324606.848,2780269.808,4
基隆市,1.62003E+20,324721.021,2780098.296,4
基隆市,1.12008E+20,324662.253,2780381.838,4
基隆市,1.62003E+20,322386.209,2781284.766,4
基隆市,1.62003E+20,322367.133,2781222.159,4
基隆市,1.62003E+20,322148.187,2781376.064,4
基隆市,1.62003E+20,322990.694,2781034.834,4
基隆市,1.62003E+20,322044.024,2781380.182,4
基隆市,1E+20,322208.7,2781421.712,4
基隆市,1.12008E+20,323113.905,2780930.731,4
基隆市,1.12008E+20,322933.803,2781081.865,4
基隆市,1.62003E+20,322679.072,2780856.092,4
基隆市,1.12008E+20,322384.36,2781338.323,4
基隆市,1.62003E+20,323159.797,2781632.689,4
基隆市,1.62003E+20,323128.737,2781608.35,4
基隆市,1.62003E+20,323253.08,2781585.505,4
基隆市,1.62003E+20,323372.048,2781412.144,4
基隆市,1.62003E+20,323423.192,2781421.393,4
基隆市,1.62003E+20,323189.51,2781559.185,4
基隆市,1.62003E+20,325765.21,2780015.73,4
基隆市,1.62003E+20,325755.494,2779976.316,4
基隆市,1.62003E+20,325751.828,2779833.392,4
基隆市,1.62003E+20,325688.79,2779845.22,4
基隆市,1.62003E+20,325853.827,2779947.879,4
基隆市,1.62003E+20,325859.78,2780008.402,4
基隆市,1.62003E+20,325833.393,2780053.274,4
基隆市,1.62003E+20,325709.206,2780039.13,4
基隆市,1.62003E+20,325682.111,2779769.425,4
基隆市,1.62003E+20,325760.959,2780037.586,4
基隆市,1.62003E+20,321581.626,2781692.03,4
基隆市,1.62003E+20,321449.026,2782086.226,4
基隆市,1.62003E+20,321374.18,2782078.43,4
基隆市,01620033210781603r0001,321027.62,2781683.61,0
基隆市,1.62003E+20,321518.664,2781956.698,4
基隆市,1.62003E+20,320939.953,2781692.368,4
基隆市,1.62003E+20,321475.011,2781781.28,4
基隆市,1.62003E+20,321473.394,2781913.218,4
基隆市,1.62003E+20,321493.38,2781788.875,4
基隆市,1.62003E+20,321567.352,2781812.745,4
基隆市,1.62003E+20,321236.753,2781483.733,4
基隆市,1.62003E+20,321460.899,2782265.039,4
基隆市,1.62003E+20,321169.532,2783353.551,4
基隆市,1.62003E+20,321279.216,2781691.273,0
基隆市,1.62003E+20,320960.113,2781700.879,2
基隆市,1.62003E+20,321398.937,2781694.32,0
基隆市,1.12008E+20,321139.52,2781671.25,0
基隆市,1.12008E+20,321269.776,2781541.1,4
基隆市,1.12008E+20,321165.182,2781331.653,4
基隆市,1.12008E+20,321204.627,2781418.027,4
基隆市,1.62003E+20,326134.635,2780062.917,4
基隆市,1.62003E+20,326195.441,2780145.966,4
基隆市,1.62003E+20,325989.69,2780157.146,4
基隆市,1.46005E+20,326229.485,2780165.51,4
基隆市,1E+20,326208.024,2780175.399,4
基隆市,1.62003E+20,324534.133,2780138.535,4
基隆市,1.62003E+20,318634.328,2779047.233,4
基隆市,1.62003E+20,318804.69,2778549.101,4
基隆市,1.62003E+20,318380.86,2780037.432,4
基隆市,1.62003E+20,318260.888,2780250.257,4
基隆市,1.62003E+20,318314.007,2780203.144,4
基隆市,1.62003E+20,318450.68,2779860.86,4
基隆市,1.62003E+20,318559.629,2779462.901,4
基隆市,1.62003E+20,324845.96,2780089.498,4
基隆市,1.12008E+20,324876.598,2780002.658,4
基隆市,1.12008E+20,324887.753,2779970.323,4
基隆市,1.62003E+20,327294.363,2782147.297,4
基隆市,1.62003E+20,327332.26,2781987.131,4
基隆市,1.62003E+20,327149.504,2781830.977,4
基隆市,1.62003E+20,327384.723,2782011.369,4
基隆市,1.12008E+20,327611.616,2781985.588,4
基隆市,1.62003E+20,327208.631,2782367.078,4
基隆市,1.62003E+20,327224.354,2781905.188,4
基隆市,1.12008E+20,327473.019,2781953.637,4
基隆市,1.12008E+20,327556.622,2781938.22,4
基隆市,1.12008E+20,327895.62,2781818.955,4
基隆市,1.12008E+20,327494.861,2781987.958,4
基隆市,1.12008E+20,327784.25,2781869.871,4
基隆市,1.21004E+20,327153.209,2781834.911,4
基隆市,1.21004E+20,327220.977,2781901.646,4
基隆市,1.21004E+20,327384.095,2782010.757,4
基隆市,1.21004E+20,327528.815,2782128.036,4
基隆市,1.62003E+20,324948.89,2779697.024,4
基隆市,1.62003E+20,325121.339,2779773.485,4
基隆市,1.62003E+20,325105.407,2779664.808,4
基隆市,1.62003E+20,325048.015,2779715.661,4
基隆市,1.62003E+20,324986.757,2779753.546,4
基隆市,1.12008E+20,324998.038,2779635.297,4
基隆市,1.12008E+20,324975.959,2779602.938,4
基隆市,1.12008E+20,325048.175,2779650.177,4
基隆市,1.12008E+20,324925.201,2779668.716,4
基隆市,1.12008E+20,324932.376,2779596.755,4
基隆市,1.62003E+20,324576.899,2779839.373,4
基隆市,1.62003E+20,324580.102,2779860.526,4
基隆市,1.62003E+20,329939.938,2781487.676,4
基隆市,1.62003E+20,329965.43,2781590.754,4
基隆市,1.62003E+20,329854.24,2781733.725,4
基隆市,1.62003E+20,329668.68,2781550.906,4
基隆市,1.62003E+20,329716.595,2781722.045,4
基隆市,1.62003E+20,329604.681,2781694.009,4
基隆市,1.62003E+20,329732.617,2781721.768,4
基隆市,1E+20,329529.839,2781863.776,4
基隆市,1E+20,329532.895,2781860.748,4
基隆市,1E+20,330104.191,2781620.735,4
基隆市,1E+20,329569.953,2781823.245,4
基隆市,1.12008E+20,330297.449,2781660.491,4
基隆市,1.62003E+20,329106.788,2782088.786,4
基隆市,1.12008E+20,329868.255,2781865.635,4
基隆市,1.12008E+20,329244.53,2782081.288,2
基隆市,1.12008E+20,329997.353,2781541.531,0
基隆市,1.12008E+20,329899.757,2781586.487,4
基隆市,1.12008E+20,329465.57,2781899.027,4
基隆市,1.62003E+20,330041.71,2781509.006,2
基隆市,1.62003E+20,325384.647,2780737.882,4
基隆市,1.62003E+20,325428.443,2780804.545,4
基隆市,01620033278783003r0001,327835.453,2783092.785,0
基隆市,01620033290782303r0001,329016.853,2782323.832,2
基隆市,01620033277783103r0001,327787.757,2783174.597,4
基隆市,01620033277783003r0001,327772.77,2783095.57,0
基隆市,1.62003E+20,328990.422,2782249.023,4
基隆市,1.62003E+20,328579.918,2782495.836,4
基隆市,1.62003E+20,328008.197,2782807.139,4
基隆市,1.62003E+20,327978.939,2782737.79,4
基隆市,1.62003E+20,327808.318,2782552.223,4
基隆市,1.62003E+20,327674.992,2782267.16,4
基隆市,01620033283782703r0001,328321.784,2782768.561,4
基隆市,1.62003E+20,327994.975,2782916.262,4
基隆市,1.62003E+20,328579.393,2782592.36,4
基隆市,1.12008E+20,328770.427,2782621.25,0
基隆市,1.62003E+20,327801.246,2783012.4,4
基隆市,1.62003E+20,327771.776,2783148.582,4
基隆市,1.62003E+20,327716.555,2783163.009,4
基隆市,1.62003E+20,327862.479,2783193.908,4
