所在縣市,識別碼,栓位X坐標(TWD97),栓位Y坐標(TWD97),消防栓形態(種類編碼)
宜蘭縣,8.22008E+20,324055.104,2739316.999,4
宜蘭縣,8.61003E+20,324776.16,2738640.63,4
宜蘭縣,8.61003E+20,324855.159,2738700.332,4
宜蘭縣,8.61003E+20,324940.591,2738671.115,4
宜蘭縣,8.61003E+20,324914.385,2738703.363,4
宜蘭縣,8.61003E+20,324968.399,2738740.845,4
宜蘭縣,8.61003E+20,325024.183,2738639.281,4
宜蘭縣,8.61003E+20,324664.25,2738453.49,4
宜蘭縣,8.61003E+20,324570.55,2738383.97,4
宜蘭縣,8.61003E+20,324187.493,2738241.76,4
宜蘭縣,8.61003E+20,324085.158,2738205.449,4
宜蘭縣,8E+20,324263.842,2738301.992,4
宜蘭縣,8E+20,324060.339,2739773.482,4
宜蘭縣,8.02002E+20,324755.865,2738515.567,4
宜蘭縣,8.02002E+20,324881.142,2738616.731,4
宜蘭縣,8.02002E+20,324861.594,2738656.161,4
宜蘭縣,8.02002E+20,324779.473,2738585.569,4
宜蘭縣,8.02002E+20,324647.77,2738505.62,4
宜蘭縣,8.02002E+20,324573.04,2738621.45,4
宜蘭縣,8.02002E+20,324414.88,2738305.42,4
宜蘭縣,8.02002E+20,324217.1,2738175.85,4
宜蘭縣,8.02002E+20,324170.15,2738150.66,4
宜蘭縣,8.02002E+20,324124.2,2738126.38,4
宜蘭縣,8.02002E+20,324113.09,2738895.09,4
宜蘭縣,8.02002E+20,324937.55,2738632.54,4
宜蘭縣,8.62E+20,324804.9,2738715.87,5
宜蘭縣,8.61003E+20,324449.987,2738198.791,4
宜蘭縣,8.61003E+20,324452.04,2738235.85,4
宜蘭縣,8.61003E+20,324750.669,2738161.65,4
宜蘭縣,8.61003E+20,324658.459,2737978.183,4
宜蘭縣,8.61003E+20,324290.566,2738050.086,4
宜蘭縣,8.61003E+20,324293.157,2738085.578,4
宜蘭縣,8.61003E+20,324686.368,2738314.788,4
宜蘭縣,8.61003E+20,324705.718,2738216.1,4
宜蘭縣,8.61003E+20,324725.7,2738182.39,4
宜蘭縣,8.61003E+20,324651.907,2738252.639,4
宜蘭縣,8.61003E+20,324635.948,2738287.122,4
宜蘭縣,8.61003E+20,324546.057,2738292.56,4
宜蘭縣,8.61003E+20,324562.578,2738250.065,4
宜蘭縣,8.61003E+20,324583.529,2738219.43,4
宜蘭縣,8.61003E+20,324593.63,2738161.099,4
宜蘭縣,8.61003E+20,324511.27,2738182.35,0
宜蘭縣,8.61003E+20,324486.404,2738094.423,4
宜蘭縣,8.61003E+20,324458.325,2738160.185,4
