所在縣市,識別碼,栓位X坐標(TWD97),栓位Y坐標(TWD97),消防栓形態(種類編碼)
屏東縣,7.62009E+20,202456.45,2525247.455,4
屏東縣,7.62002E+20,201786.419,2525180.709,4
屏東縣,1.34001E+21,202572.184,2524846.018,4
屏東縣,1.34001E+21,202000.876,2525437.55,4
屏東縣,1.34001E+21,201740.471,2525217.974,0
屏東縣,1.34001E+21,201993.74,2524830.632,4
屏東縣,1.34001E+21,202449.436,2525095.717,4
屏東縣,1.34001E+21,202628.449,2524899.277,4
屏東縣,7.66007E+20,196666.493,2516645.801,4
屏東縣,7.66007E+20,196508.3,2516591.445,0
屏東縣,7.66007E+20,196745.165,2517045.104,4
屏東縣,7.66007E+20,196351.212,2516527.274,4
屏東縣,7.66007E+20,196808.303,2516767.816,4
屏東縣,7.66007E+20,197205.425,2516570.945,0
屏東縣,7.66007E+20,196815.633,2516947.264,4
屏東縣,7.66007E+20,196995.287,2517035.885,4
屏東縣,7.66007E+20,196942.271,2517028.408,4
屏東縣,7.66007E+20,196413.457,2516847.495,0
屏東縣,7.66007E+20,196477.557,2517205.863,4
屏東縣,7.66007E+20,196701.497,2516797.179,4
屏東縣,7.66007E+20,196825.466,2516544.186,4
屏東縣,7.66007E+20,196695.418,2516504.066,4
屏東縣,7.66007E+20,196567.913,2516677.392,0
屏東縣,1.341E+21,197280.729,2517426.184,4
屏東縣,1.34001E+21,208951.058,2526271.192,4
屏東縣,1.34001E+21,208817.868,2526354.769,4
屏東縣,1.34001E+21,207521.773,2525818.549,4
屏東縣,1.34001E+21,208647.579,2526787.562,4
屏東縣,1.34001E+21,207598.029,2525405.16,4
屏東縣,1.34001E+21,208717.189,2526726.385,4
屏東縣,1.34001E+21,209377.837,2526257.708,4
屏東縣,1.34401E+21,207620.86,2525946.496,4
屏東縣,1.34401E+21,207480.064,2525728.76,4
屏東縣,7.29006E+20,194370.2,2502578.899,4
屏東縣,7.29006E+20,194554.78,2502470.259,4
屏東縣,1.34001E+21,194771.655,2502499.169,4
屏東縣,7.12004E+20,194724.32,2501961.474,4
屏東縣,7.12004E+20,194808.44,2501917.648,4
屏東縣,1.34001E+21,194792.505,2502565.454,4
屏東縣,1.34001E+21,194821.247,2503010.097,4
屏東縣,1.34001E+21,194667.759,2502891.289,4
屏東縣,1.34001E+21,194633.666,2502524.721,4
屏東縣,1.34001E+21,194884.172,2502553.785,4
屏東縣,1.34001E+21,194903.485,2502460.32,4
屏東縣,1.34001E+21,194675.811,2502639.05,4
屏東縣,1.34001E+21,194633.343,2502799.708,4
屏東縣,1.34001E+21,194821.819,2502943.804,4
屏東縣,1.341E+21,195160.923,2502270.856,4
屏東縣,1.34001E+21,197409.928,2510411.807,4
屏東縣,7.29006E+20,195839.038,2509967.157,4
屏東縣,1.34001E+21,196961.868,2510030.733,4
屏東縣,1.34001E+21,196810.737,2510370.295,4
屏東縣,1.34001E+21,196745.42,2510252.686,4
屏東縣,1.34001E+21,196730.585,2510350.722,4
屏東縣,1.34001E+21,196882.385,2510378.141,4
屏東縣,1.34001E+21,196967.854,2510267.243,4
屏東縣,1.34001E+21,196974.242,2510169.372,4
屏東縣,1.34001E+21,196960.489,2510383.27,4
屏東縣,1.34001E+21,197109.787,2510392.473,4
屏東縣,1.34001E+21,197045.908,2510388.494,4
屏東縣,1.34001E+21,197424.198,2510222.988,4
屏東縣,1.34001E+21,196903.817,2510009.224,4
屏東縣,1.34001E+21,197155.738,2510387.986,4
屏東縣,1.34001E+21,197040.687,2510509.019,4
屏東縣,1.34001E+21,197271.874,2510165.281,4
屏東縣,1.34001E+21,197168.488,2510194.067,4
屏東縣,1.34001E+21,196037.057,2509143.905,4
屏東縣,1.34001E+21,196048.047,2509363.194,4
屏東縣,1.34001E+21,195975.288,2509276.225,4
屏東縣,7.62009E+20,195919.798,2509358.918,4
屏東縣,1.34001E+21,196183.229,2509002.817,4
屏東縣,1.34001E+21,195684.117,2509716.973,4
屏東縣,1.34001E+21,196079.403,2509397.893,4
屏東縣,7.29006E+20,196319.508,2508982.718,4
屏東縣,7.29006E+20,196233.802,2509198.895,4
屏東縣,1.34001E+21,193850.908,2507494.23,4
屏東縣,1.34001E+21,195594.264,2508752.189,4
屏東縣,7.29006E+20,196367.769,2508831.326,4
屏東縣,7.29006E+20,196437.652,2508835.726,4
屏東縣,1.34001E+21,195920.701,2509050.682,4
屏東縣,1.34001E+21,195819.414,2509187.318,4
屏東縣,1.34001E+21,195985.081,2509531.352,4
屏東縣,1.34001E+21,196017.086,2509219.272,4
屏東縣,1.34001E+21,196102.543,2509313.509,4
屏東縣,1.34001E+21,196356.019,2509046.466,2
屏東縣,1.34001E+21,196107.523,2509236.943,4
屏東縣,1.34001E+21,196099.037,2508899.18,4
屏東縣,1.34001E+21,196247.543,2509077.712,4
屏東縣,1.34001E+21,196047.377,2508976.011,4
屏東縣,1.34001E+21,196043.653,2509057.193,4
屏東縣,1.34001E+21,196404.444,2508913.828,4
屏東縣,1.34001E+21,195622.774,2509163.227,4
屏東縣,1.34001E+21,195918.061,2508885.373,4
屏東縣,1.34001E+21,195911.502,2508961.555,4
屏東縣,1.34001E+21,195776.894,2509070.988,4
屏東縣,1.34001E+21,196322.949,2508930.229,4
屏東縣,7.29006E+20,195628.652,2508775.004,4
屏東縣,1.34001E+21,195854.216,2508962.423,4
屏東縣,1.34001E+21,195755.882,2509113.157,4
屏東縣,1.34001E+21,196111.962,2509067.31,4
屏東縣,1.34001E+21,195887.45,2509417.769,4
屏東縣,1.34001E+21,195899.369,2509153.453,4
屏東縣,1.34001E+21,195943.485,2509277.945,4
屏東縣,1.34001E+21,195989.812,2509148.666,4
屏東縣,1.34001E+21,195759.163,2509277.301,4
屏東縣,1.34001E+21,196059.482,2508810.357,4
屏東縣,1.34001E+21,195869.13,2508796.991,4
屏東縣,1.34001E+21,195921.624,2508800.476,4
屏東縣,1.34001E+21,196046.027,2508809.113,4
屏東縣,1.34001E+21,196190.726,2508818.819,4
屏東縣,1.34001E+21,196244.908,2509211.26,4
屏東縣,1.34001E+21,196295.715,2509267.118,4
屏東縣,1.34001E+21,196188.069,2508905.145,4
屏東縣,1.34001E+21,193717.931,2507495.037,4
屏東縣,1.34001E+21,195843.074,2508891.503,4
屏東縣,1.34001E+21,196190.496,2508818.78,4
屏東縣,1.34001E+21,196327.135,2508827.385,4
屏東縣,1.34001E+21,196191.755,2509154.362,4
屏東縣,1.34001E+21,196170.656,2509369.059,4
屏東縣,1.34001E+21,196078.547,2509267.78,4
屏東縣,1.34001E+21,196023.746,2509135.799,4
屏東縣,1.34001E+21,196301.155,2509136.983,4
屏東縣,1.34001E+21,196184.852,2509267.97,4
屏東縣,1.34001E+21,195899.968,2508845.351,4
屏東縣,1.34001E+21,195971.352,2508851.977,4
屏東縣,1.34001E+21,195954.265,2508888.896,4
屏東縣,1.34001E+21,195937.109,2509008.235,4
屏東縣,1.34001E+21,196041.167,2508894.315,4
屏東縣,1.34401E+21,196285.029,2509069.917,4
屏東縣,1.34001E+21,195789.308,2508793.678,4
屏東縣,7.66007E+20,197059.304,2514826.41,4
屏東縣,7.66007E+20,197089.148,2514574.846,4
屏東縣,7.66007E+20,197072.413,2514473.698,4
屏東縣,7.66007E+20,197146.024,2514652.801,4
屏東縣,W1936569912K,197183.356,2513916.812,4
屏東縣,W1552230436H,197274.665,2513823.709,4
屏東縣,7.66007E+20,197129.114,2514876.405,4
屏東縣,7.66007E+20,197107.914,2514969.679,4
屏東縣,7.66007E+20,197129.168,2514778.218,4
屏東縣,7.66007E+20,197112.978,2514724.467,4
屏東縣,7.43E+20,193230.558,2494471.279,4
屏東縣,7.43E+20,193941.445,2494057.739,4
屏東縣,7.43E+20,193973.347,2493925.585,4
屏東縣,7.43E+20,193455.042,2494173.569,4
屏東縣,7.43E+20,193749.971,2494167.583,4
屏東縣,7.43E+20,193844.978,2494112.772,4
屏東縣,7.43E+20,193666.796,2494010.624,4
屏東縣,7.43E+20,193701.511,2493921.708,4
屏東縣,7.43E+20,193924.591,2493847.209,4
屏東縣,7.43E+20,194039.029,2494003.557,4
屏東縣,7.43E+20,193811.777,2493739.222,4
屏東縣,7.43E+20,193764.77,2493806.73,4
屏東縣,7.43E+20,194109.169,2493769.758,4
屏東縣,7.43E+20,193908.237,2494337.048,4
屏東縣,7.43E+20,193419.064,2493765.776,4
屏東縣,7.43E+20,193677.062,2495197.891,4
屏東縣,7.43E+20,194141.2,2493830.119,4
屏東縣,7.43E+20,193344.762,2494408.522,4
屏東縣,7.43E+20,194908.296,2495631.036,4
屏東縣,7.29006E+20,193939.349,2493593.185,4
屏東縣,7.43E+20,193272.025,2494274.271,4
屏東縣,7.43E+20,195313.913,2495361.933,4
屏東縣,7.43E+20,193841.148,2495070.182,4
屏東縣,7.43E+20,193442.115,2494358.643,4
屏東縣,7.43E+20,193596.951,2494275.423,4
屏東縣,7.43E+20,193731.055,2494089.306,4
屏東縣,7.43E+20,193945.96,2493773.617,4
屏東縣,7.43E+20,194037.384,2493709.49,4
屏東縣,7.43E+20,193082.456,2494718.235,4
屏東縣,7.43E+20,195009.051,2495236.483,4
屏東縣,7.43E+20,195382.284,2495310.377,4
屏東縣,7.43E+20,193234.454,2495042.147,4
屏東縣,7.43E+20,193743.366,2493916.362,4
屏東縣,7.62009E+20,195510.813,2497494.615,4
屏東縣,7.62009E+20,194328.934,2496978.327,4
屏東縣,7.12004E+20,194847.643,2497125.836,4
屏東縣,7.12004E+20,195583.302,2497491.562,4
屏東縣,7.62009E+20,194631.684,2497057.636,4
屏東縣,7.62009E+20,194348.929,2497289.33,4
屏東縣,7.62009E+20,194566.684,2497169.542,4
屏東縣,7.62009E+20,194477.217,2497357.558,4
屏東縣,7.62009E+20,194271.374,2497359.543,4
屏東縣,1.34001E+21,194327.527,2497188.516,4
屏東縣,1.34001E+21,194478.418,2497206.902,4
屏東縣,7.62009E+20,194845.933,2497245.527,4
屏東縣,7.62009E+20,195382.296,2497383.16,4
屏東縣,1.34001E+21,194900.906,2496457.442,4
屏東縣,7.62009E+20,195427.021,2496760.736,4
屏東縣,1.34001E+21,195049.396,2496466.381,4
屏東縣,7.62002E+20,195108.169,2496035.447,4
屏東縣,7.62002E+20,194976.34,2495844.23,4
屏東縣,7.62002E+20,194179.29,2496635.029,4
屏東縣,7.62002E+20,194512.576,2496374.765,4
屏東縣,7.62002E+20,194779.866,2496695.813,4
屏東縣,7.62002E+20,194264.825,2496820.761,4
屏東縣,7.62002E+20,194863.278,2496591.626,4
屏東縣,1.34001E+21,194285.88,2496597.969,4
屏東縣,1.34001E+21,194715.365,2496104.749,4
屏東縣,7.62009E+20,195426.905,2496961.333,4
屏東縣,7.62002E+20,194110.633,2496075.436,4
屏東縣,7.62002E+20,194257.455,2495839.699,4
屏東縣,7.62002E+20,194663.478,2496796.798,4
屏東縣,1.34001E+21,194231.992,2496421.241,4
屏東縣,1.34001E+21,194857.729,2496429.371,4
屏東縣,7.62002E+20,194768.268,2496367.626,4
屏東縣,7.62002E+20,194248.213,2504879.434,3
屏東縣,1.34001E+21,195640.482,2506135.635,0
屏東縣,1.34001E+21,193877.326,2505298.306,3
屏東縣,1.34001E+21,194241.065,2505509.619,3
屏東縣,1.34001E+21,194121.222,2505521.632,3
屏東縣,1.34001E+21,194302.486,2505301.905,3
屏東縣,1.34001E+21,193873.24,2505384.784,3
屏東縣,7.62002E+20,194968.745,2505163.519,4
屏東縣,7.62002E+20,193097.904,2505180.429,4
屏東縣,1.34001E+21,193736.713,2505068.208,2
屏東縣,7.29006E+20,193790.627,2504882.92,2
屏東縣,1.34001E+21,193988.398,2505482.89,3
屏東縣,7.62002E+20,193691.722,2504740.239,2
屏東縣,1.34001E+21,193677.42,2505271.389,2
屏東縣,1.34001E+21,195793.963,2506095.082,0
屏東縣,1.34001E+21,195487.906,2506175.971,0
屏東縣,1.34001E+21,195967.632,2506049.045,0
屏東縣,7.29006E+20,195108.86,2506224.799,4
屏東縣,7.29006E+20,195342.111,2505825.759,4
屏東縣,7.62002E+20,193520.714,2505329.152,4
屏東縣,1.34001E+21,195611.023,2505822.071,4
屏東縣,1.34001E+21,195269.365,2506231.008,0
