所在縣市,識別碼,栓位X坐標(TWD97),栓位Y坐標(TWD97),消防栓形態(種類編碼)
彰化縣,1.14201E+21,206596.21,2650433.367,0
彰化縣,1.14201E+21,206631.34,2650423.224,0
彰化縣,1.14201E+21,206454.149,2650572.856,0
彰化縣,1.14201E+21,206983.022,2650660.756,0
彰化縣,1.14201E+21,206916.218,2650578.918,4
彰化縣,1.14201E+21,206771.851,2650525.814,0
彰化縣,1.14201E+21,206773.346,2650551.045,0
彰化縣,1.14201E+21,206917.368,2650375.63,0
彰化縣,1.14201E+21,206630.852,2650554.227,0
彰化縣,1.14201E+21,206472.615,2650506.17,0
彰化縣,1.14201E+21,206436.957,2650602.016,4
彰化縣,4.45001E+20,212212.971,2656273.353,4
彰化縣,4.45001E+20,212474.202,2656579.133,4
彰化縣,4.44004E+20,210853.899,2653615.172,4
彰化縣,4.44004E+20,211308.448,2652471.438,4
彰化縣,4.44004E+20,211392.832,2653651.622,4
彰化縣,4.44004E+20,211489.163,2652192.259,4
彰化縣,4.44004E+20,211055.313,2653363.214,4
彰化縣,4.44004E+20,211412.899,2652498.767,4
彰化縣,4.44004E+20,212085.434,2654182.513,4
彰化縣,4.44004E+20,212027.651,2653931.625,4
彰化縣,4.44004E+20,211895.522,2654003.537,4
彰化縣,4.44004E+20,211928.851,2654031.621,4
彰化縣,4.44004E+20,212116.879,2653971.273,4
彰化縣,4.44004E+20,211113.264,2653197.735,0
彰化縣,4.44004E+20,211469.782,2652484.346,4
彰化縣,4.44004E+20,211476.463,2652561.525,4
彰化縣,4.44004E+20,211371.512,2652540.766,4
彰化縣,4.44004E+20,211735.433,2653992.874,4
彰化縣,4.44004E+20,210748.361,2653815.503,4
彰化縣,4.44004E+20,210534.768,2654178.639,4
彰化縣,4.44004E+20,211049.898,2654566.468,0
彰化縣,4.44004E+20,212014.284,2655403.542,0
彰化縣,4.44004E+20,210300.689,2654940.769,4
彰化縣,4.44004E+20,210448.067,2654529.005,4
彰化縣,4.44004E+20,210287.014,2654872.165,4
彰化縣,1.16101E+21,203159.168,2663361.8,4
彰化縣,1.16101E+21,203143.258,2663537.401,4
彰化縣,1.16101E+21,203255.161,2663577.853,0
彰化縣,1.16101E+21,203098.061,2663426.588,4
彰化縣,1.16101E+21,203052.793,2663585.095,4
彰化縣,1.16101E+21,203571.592,2663332.127,0
彰化縣,1.16101E+21,203640.451,2663537.971,4
彰化縣,1.16101E+21,203367.414,2663372.515,0
彰化縣,1.16101E+21,203387.729,2663579.296,4
彰化縣,1.16101E+21,203486.753,2663442.318,0
彰化縣,1.16101E+21,203415.472,2663476.291,4
彰化縣,1.16101E+21,203236.162,2663397.994,0
彰化縣,1.16101E+21,203300.201,2663385.056,0
彰化縣,1.16101E+21,203368.046,2663490.232,0
彰化縣,1.14201E+21,206463.114,2650648.8,0
彰化縣,1.14201E+21,206550.021,2650677.835,0
彰化縣,1.14201E+21,206506.476,2650752.214,0
彰化縣,1.14201E+21,206645.539,2650804.618,0
彰化縣,1.14201E+21,206451.72,2650742.116,0
彰化縣,1.14201E+21,206437.327,2650639.054,0
彰化縣,1.14201E+21,206558.584,2650852.762,0
彰化縣,1.14201E+21,206390.338,2650816.845,0
彰化縣,1.14201E+21,206642.339,2650739.477,0
彰化縣,1.14201E+21,206523.502,2650705.723,4
彰化縣,4.44004E+20,212443.824,2650240.248,0
彰化縣,4.44004E+20,212449.257,2650262.442,0
彰化縣,4.44004E+20,212216.83,2650494.614,0
彰化縣,4.44004E+20,212329.552,2650611.964,4
彰化縣,4.44004E+20,212158.438,2651153.445,4
彰化縣,4.45001E+20,212234.36,2655636.854,4
彰化縣,4.45001E+20,212201.171,2655974.72,4
彰化縣,4.45001E+20,212352.392,2655645.133,4
彰化縣,4.45001E+20,212200.777,2655806.082,4
彰化縣,4.45001E+20,213751.247,2656187.543,4
彰化縣,4.45001E+20,213759.087,2656045.366,4
彰化縣,4.45001E+20,213861.954,2656067.136,4
彰化縣,4.45001E+20,213984.781,2656202.548,4
彰化縣,4.45001E+20,214084.999,2656107.268,4
彰化縣,4.45001E+20,215289.891,2656183.196,4
彰化縣,4.45001E+20,216728.025,2656317.2,4
彰化縣,4.45001E+20,216865.005,2656270.494,4
彰化縣,4.45001E+20,213751.642,2656058.997,4
彰化縣,4.45001E+20,216127.329,2656472.005,4
彰化縣,4.45001E+20,214071.778,2656121.484,4
彰化縣,4.45001E+20,213864.084,2656065.513,4
彰化縣,4.45001E+20,213988.74,2656200.8,4
彰化縣,4.45001E+20,216181.767,2656343.57,4
彰化縣,4.45001E+20,213907.708,2656283.714,4
彰化縣,4.45001E+20,213855.778,2656337.592,4
彰化縣,4.45001E+20,213768.402,2656431.264,4
彰化縣,4.45001E+20,214349.415,2656025.302,4
彰化縣,4.45001E+20,214142.561,2656245.503,4
彰化縣,4.45001E+20,213669.044,2656710.617,4
彰化縣,4.45001E+20,213735.823,2657796.211,4
彰化縣,4.45001E+20,213832.628,2656367.69,4
彰化縣,4.45001E+20,213774.547,2656429.774,4
彰化縣,4.45001E+20,213915.677,2656279.258,4
彰化縣,4.45001E+20,212301.586,2656566.561,4
彰化縣,4.45001E+20,212186.43,2656470.637,4
彰化縣,4.45001E+20,212211.477,2656560.658,4
彰化縣,4.45001E+20,212219.557,2656802.283,4
彰化縣,4.45001E+20,212221.241,2656698.09,4
彰化縣,1.16101E+21,203743.067,2662960.343,4
彰化縣,1.16101E+21,203490.887,2662824.522,4
彰化縣,1.16101E+21,203690.395,2662827.306,4
彰化縣,1.16101E+21,203591.593,2662967.909,0
彰化縣,1.16101E+21,203504.793,2662974.013,0
彰化縣,1.16101E+21,203595.511,2662942.398,0
彰化縣,1.16101E+21,203745.725,2662987.862,0
彰化縣,1.16101E+21,203818.877,2663026.626,0
彰化縣,1.16101E+21,203668.66,2662838.209,4
彰化縣,1.16101E+21,203666.566,2662937.51,4
彰化縣,1.16101E+21,203724.394,2662990.826,0
彰化縣,1.147E+21,192325.397,2661595.974,4
彰化縣,1.147E+21,192428.802,2661480.903,4
彰化縣,1.147E+21,192365.919,2661532.271,4
彰化縣,1.147E+21,192352.882,2661624.121,4
彰化縣,1.147E+21,192454.722,2661668.868,0
彰化縣,1.147E+21,192340.827,2661713.432,0
彰化縣,1.147E+21,192662.641,2661607.455,0
彰化縣,1.147E+21,192549.415,2661524.271,0
彰化縣,1.147E+21,192430.297,2661659.815,0
彰化縣,1.147E+21,192341.571,2661714.05,0
彰化縣,1.147E+21,192663.903,2661607.46,0
彰化縣,1.147E+21,192033.291,2661627.026,4
彰化縣,1.147E+21,191913.282,2661751.546,4
彰化縣,1.147E+21,192133.936,2661558.102,4
彰化縣,1.147E+21,191902.747,2661588.008,0
彰化縣,1.147E+21,191984.371,2661678.776,0
彰化縣,1.144E+21,214418.404,2632724.06,4
彰化縣,1.144E+21,213466.271,2632260.949,0
彰化縣,1.144E+21,213237.835,2631957.003,4
彰化縣,1.144E+21,214257.933,2632725.859,4
彰化縣,1.144E+21,214464.353,2632822.959,0
彰化縣,1.144E+21,213379.777,2632630.865,0
彰化縣,1.144E+21,213546.943,2632277.658,0
彰化縣,1.144E+21,213606.872,2632512.694,0
彰化縣,1.144E+21,198536.965,2636182.224,4
彰化縣,1.144E+21,198480.79,2636534.971,4
彰化縣,1.144E+21,198802.925,2636604.985,4
彰化縣,1.144E+21,198656.637,2636598.984,4
彰化縣,1.16101E+21,201131.896,2668536.158,4
彰化縣,1.16101E+21,201216.536,2668746.083,0
彰化縣,1.16101E+21,201244.132,2668440.655,4
彰化縣,1.16101E+21,201463.354,2668795.462,0
彰化縣,1.16101E+21,201972.956,2661043.365,4
彰化縣,1.16101E+21,201430.308,2661329.651,4
彰化縣,1.16101E+21,201288.31,2661628.582,4
彰化縣,1.16101E+21,202280.156,2661740.121,0
彰化縣,1.16101E+21,202042.817,2661768.311,4
彰化縣,1.16101E+21,201934.575,2661522.27,0
彰化縣,1.16101E+21,202013.801,2661703.646,0
彰化縣,1.16101E+21,201439.48,2660931.455,4
彰化縣,1.16101E+21,202058.751,2661250.295,4
彰化縣,1.16101E+21,203088.712,2662608.165,0
彰化縣,1.16101E+21,202922.705,2662258.863,4
彰化縣,1.16101E+21,202780.38,2662340.502,0
彰化縣,1.16101E+21,203029.706,2662171.18,4
彰化縣,1.16101E+21,203166.697,2662357.776,4
彰化縣,1.16101E+21,203187.513,2662360.69,4
彰化縣,1.16101E+21,203249.067,2662467.079,4
彰化縣,1.16101E+21,202759.557,2662260.946,0
彰化縣,1.16101E+21,203128.512,2662170.786,4
彰化縣,1.16101E+21,203064.333,2662510.324,0
彰化縣,1.16101E+21,203064.614,2662486.236,4
彰化縣,1.16101E+21,203197.211,2662469.092,4
彰化縣,1.16101E+21,203092.72,2662359.054,4
彰化縣,1.16101E+21,202945.268,2662485.649,4
彰化縣,1.16101E+21,203007.057,2662642.328,0
彰化縣,1.16101E+21,203069.392,2662532.363,0
彰化縣,1.16101E+21,202746.821,2662643.569,0
彰化縣,1.16101E+21,202716.08,2662577.841,0
彰化縣,1.16101E+21,203133.55,2662178.83,4
彰化縣,1.16101E+21,202613.483,2662622.188,4
彰化縣,1.16101E+21,202637.573,2662744.038,4
彰化縣,1.16101E+21,210293.365,2665017.563,0
彰化縣,1.16101E+21,210193.863,2665069.345,0
彰化縣,1.16101E+21,210032.081,2664676.889,0
彰化縣,1.16101E+21,210431.581,2664913.812,0
彰化縣,1.16101E+21,209775.479,2664557.482,0
彰化縣,1.16101E+21,209830.016,2664679.927,0
彰化縣,1.16101E+21,210228.517,2664493.885,0
彰化縣,1.16101E+21,210104.262,2664567.441,0
彰化縣,1.16101E+21,210202.456,2664949.912,0
彰化縣,1.14301E+21,203620.493,2640620.562,4
彰化縣,1.14301E+21,203716.754,2640632.913,4
彰化縣,1.14301E+21,203694.063,2640720.526,4
