所在縣市,識別碼,栓位X坐標(TWD97),栓位Y坐標(TWD97),消防栓形態(種類編碼)
新北市,1.62003E+20,295077.018,2785386.736,4
新北市,1.62003E+20,295135.534,2785337.231,4
新北市,1.62003E+20,294721.069,2785122.715,4
新北市,1.62003E+20,294767.375,2785096.938,4
新北市,1.62003E+20,294748.39,2785180.02,4
新北市,1.62003E+20,294582.669,2784875.436,4
新北市,1.62003E+20,294740.604,2784935.787,4
新北市,1.62003E+20,294791.976,2784929.994,4
新北市,1.62003E+20,295077.083,2785011.592,4
新北市,1.62003E+20,294919.097,2785237.725,4
新北市,1.62003E+20,294951.509,2785220.258,4
新北市,1.62003E+20,294984.557,2785237.824,4
新北市,1.62003E+20,294969.469,2785294.841,4
新北市,1.62003E+20,294622.983,2784946.468,4
新北市,1.62003E+20,294948.009,2785147.743,4
新北市,1.62003E+20,294933.442,2784874.944,4
新北市,1.62003E+20,294689.022,2784882.324,4
新北市,1.44001E+20,294657.144,2785257.776,4
新北市,1.62003E+20,294925.996,2785270.914,4
新北市,1.62003E+20,294639.913,2784940.918,4
新北市,1.62003E+20,294733.6,2785044.63,4
新北市,1.62003E+20,294856.964,2784933.362,4
新北市,1.62003E+20,343158.737,2771842.723,4
新北市,1.62003E+20,343442.217,2771410.043,4
新北市,1.62003E+20,343469.16,2771328.649,4
新北市,1.62003E+20,343122.584,2771532.333,4
新北市,1.62003E+20,343211.058,2771998.05,4
新北市,1.62003E+20,343340.199,2771994.826,4
新北市,1.62003E+20,343132.13,2771747.88,4
新北市,1.62003E+20,343263.567,2771771.037,4
新北市,1.62003E+20,343476.916,2771751.21,4
新北市,1.62003E+20,343455.654,2771971.614,4
新北市,1.62003E+20,342902.032,2772101.444,4
新北市,1.62003E+20,342748.972,2772200.402,4
新北市,1.62003E+20,343280.61,2771719.279,4
新北市,1.62003E+20,343244.497,2771952.365,4
新北市,1.62003E+20,343204.821,2771820.673,4
新北市,1.62003E+20,343462.035,2771882.835,4
新北市,1.62003E+20,343586.614,2771968.532,4
新北市,1.62003E+20,316243.206,2772071.136,4
新北市,01620033162772103_0001,316220.121,2772134.933,4
新北市,1.43004E+20,316191.533,2772193.231,0
新北市,1.43004E+20,316296.302,2772057.936,2
