所在縣市,識別碼,栓位X坐標(TWD97),栓位Y坐標(TWD97),消防栓形態(種類編碼)
新竹市,3.61008E+20,246550.434,2742354.817,4
新竹市,3.61008E+20,246684.749,2742274.038,4
新竹市,3.61008E+20,246524.812,2742516.355,0
新竹市,3.61008E+20,246626.885,2742397.825,4
新竹市,3.61008E+20,246458.744,2742222.602,4
新竹市,3.61008E+20,246705.684,2742311.6,4
新竹市,3.61008E+20,246476.876,2742306.806,4
新竹市,3.61008E+20,251622.162,2742400.626,4
新竹市,3.61008E+20,251715.722,2742575.277,4
新竹市,3.61008E+20,250701.387,2742708.016,4
新竹市,3.61008E+20,251429.019,2742297.052,0
新竹市,3.61008E+20,251284.261,2741987.506,4
新竹市,3.61008E+20,251300.856,2741981.307,4
新竹市,3.61008E+20,250769.992,2742406.372,4
新竹市,3.61008E+20,251012.567,2742214.172,4
新竹市,3.61008E+20,251217.52,2742453.122,0
新竹市,3.61008E+20,250977.541,2742243.009,4
新竹市,3.61008E+20,250970.774,2742630.952,0
新竹市,3.61008E+20,251589.17,2742478.848,4
新竹市,3.61008E+20,251702.895,2742485.837,4
新竹市,3.61008E+20,251576.157,2742307.433,4
新竹市,3.61008E+20,250703.477,2742705.701,4
新竹市,3.61008E+20,251323.4,2742341.526,0
新竹市,3.61008E+20,251356.608,2742474.576,0
新竹市,3.61008E+20,251133.302,2742294.088,4
新竹市,3.61008E+20,251108.821,2742221.132,4
新竹市,3.61008E+20,251232.458,2742292.012,4
新竹市,3.61008E+20,251124.847,2742120.865,4
新竹市,3.61008E+20,250893.158,2742653.213,0
新竹市,3.61008E+20,251082.565,2742548.493,0
新竹市,3.61008E+20,251108.72,2742487.208,0
新竹市,3.61008E+20,250887.094,2742587.409,0
新竹市,3.61008E+20,251177.922,2742448.819,0
新竹市,3.61008E+20,251004.798,2742567.268,0
新竹市,3.61008E+20,251136.924,2742493.254,0
新竹市,3.61008E+20,251192.093,2742471.904,0
新竹市,3.61008E+20,250808.311,2742388.211,0
新竹市,3.61008E+20,246739.047,2744280.142,4
新竹市,3.61008E+20,246624.326,2744398.599,4
新竹市,3.61008E+20,246650.85,2744320.473,4
新竹市,3.61008E+20,246737.395,2744181.244,4
新竹市,3.61008E+20,246571.21,2744196.762,4
新竹市,3.61008E+20,246638.174,2744214.579,4
新竹市,3.61008E+20,247022.152,2744184.772,4
新竹市,3.61008E+20,246973.065,2744345.24,4
新竹市,3.61008E+20,246982.339,2744133.213,4
新竹市,3.21006E+20,246933.109,2744193.119,4
新竹市,3.61008E+20,246879.605,2744280.606,4
新竹市,3.61008E+20,247258.485,2744379.247,4
新竹市,3.61008E+20,247208.985,2744085.687,4
