所在縣市,識別碼,栓位X坐標(TWD97),栓位Y坐標(TWD97),消防栓形態(種類編碼)
桃園市,2.25003E+20,273402.193,2760307.639,0
桃園市,2.25003E+20,273607.712,2760335.579,1
桃園市,2.25003E+20,273721.908,2760614.017,0
桃園市,2.25003E+20,273537.165,2760303.03,0
桃園市,2.25003E+20,273567.913,2760427.535,0
桃園市,2.25003E+20,273476.166,2760466.966,0
桃園市,2.25003E+20,273650.778,2760411.655,0
桃園市,2.25003E+20,273798.729,2760399.913,0
桃園市,2.25003E+20,273873.466,2760153.307,0
桃園市,2.25003E+20,273670.352,2760208.301,0
桃園市,2.25003E+20,273297.674,2760332.431,0
桃園市,2.25003E+20,273537.165,2760303.03,0
桃園市,2.25003E+20,273433.67,2760254.09,0
桃園市,2.25003E+20,273777.908,2760155.279,0
桃園市,2.25003E+20,273254.779,2760228.807,0
桃園市,2.25003E+20,273223.264,2760337.837,0
桃園市,2.25003E+20,273750.787,2760311.375,0
桃園市,2.25003E+20,273339.849,2760464.412,0
桃園市,2.25003E+20,273302.86,2760191.33,0
桃園市,2.25003E+20,273601.271,2760524.701,0
桃園市,2.25003E+20,273360.547,2760391.05,0
桃園市,2.25003E+20,273360.992,2760392.076,0
桃園市,2.25003E+20,273739.848,2760060.621,0
桃園市,2.25003E+20,273746.643,2760063.387,0
桃園市,2.25003E+20,273741.522,2760531.344,0
桃園市,2.25003E+20,273339.636,2760465.197,4
桃園市,2.25003E+20,273791.977,2760160.9,0
桃園市,2.24006E+20,281007.622,2764526.933,4
桃園市,2.24006E+20,281002.792,2764528.463,4
桃園市,2.24006E+20,281106.757,2764532.806,0
桃園市,2.24006E+20,281150.776,2764717.755,4
桃園市,2.24006E+20,281235.46,2764840.628,0
桃園市,2.24006E+20,281198.042,2764562.985,0
桃園市,2.24006E+20,281162.649,2766863.461,4
桃園市,2.24006E+20,280905.888,2766886.316,0
桃園市,2.24006E+20,281011.065,2766798.038,0
桃園市,2.24006E+20,280958.737,2766860.742,0
桃園市,2.24006E+20,280867.068,2766610.217,4
桃園市,2.24006E+20,280927.166,2766897.952,0
桃園市,2.24006E+20,281112.577,2766722.557,0
桃園市,2.24006E+20,280753.392,2766347.403,4
桃園市,2.24006E+20,280809.335,2766769.468,4
桃園市,2.24006E+20,281026.451,2766611.105,0
桃園市,2.24006E+20,280966.331,2766737.852,0
桃園市,2.24006E+20,281062.631,2766511.759,0
桃園市,2.24006E+20,280992.87,2766529.699,0
桃園市,2.24006E+20,280772.888,2766755.201,0
桃園市,2.24006E+20,280866.288,2766504.885,0
桃園市,2.24006E+20,280583.03,2766640.294,4
桃園市,2.24006E+20,281099.387,2767055.636,4
桃園市,2.24006E+20,280804.434,2766521.166,0
桃園市,2.24006E+20,280730.628,2766588.846,0
桃園市,2.24006E+20,281153.657,2766774.101,0
桃園市,2.24006E+20,280942.154,2766453.918,4
桃園市,2.24006E+20,280855.575,2766571.877,4
桃園市,2.24006E+20,280796.966,2766371.52,0
桃園市,2.24006E+20,280935.729,2766825.715,0
桃園市,2.25003E+20,270584.097,2759692.147,0
