所在縣市,識別碼,栓位X坐標(TWD97),栓位Y坐標(TWD97),消防栓形態(種類編碼)
澎湖縣,9.46003E+20,282845.581,2580136.162,4
澎湖縣,9.46003E+20,282835.103,2580355.211,4
澎湖縣,9.46003E+20,282659.869,2580319.436,4
澎湖縣,9.46003E+20,282966.295,2580198.948,4
澎湖縣,9.46003E+20,282637.939,2580266.7,4
澎湖縣,9.61004E+20,282692.33,2580179.5,4
澎湖縣,9.46003E+20,282703.389,2580445.387,4
澎湖縣,9.46003E+20,282713.019,2580379.883,4
澎湖縣,9.61004E+20,282679.974,2580366.273,4
澎湖縣,9.46003E+20,282727.718,2580322.879,4
澎湖縣,9.46003E+20,282708.963,2589317.719,4
澎湖縣,7.49002E+20,302083.071,2598197.252,4
澎湖縣,9.44009E+20,302210.17,2598707.858,4
澎湖縣,7.49002E+20,304134.749,2614920.596,0
澎湖縣,7.49003E+20,303438.772,2614918.102,0
澎湖縣,7.49002E+20,302768.661,2616658.573,0
澎湖縣,7.49003E+20,302944.499,2616030.114,4
澎湖縣,7.43001E+20,302942.209,2616026.294,4
澎湖縣,7.43001E+20,302787.017,2616638.589,4
澎湖縣,7.43001E+20,302618.561,2615945.68,4
澎湖縣,7.49003E+20,302789.272,2616641.771,0
澎湖縣,7.43001E+20,302618.561,2615945.734,4
澎湖縣,7.49003E+20,303512.933,2614782.532,0
澎湖縣,7.49003E+20,303384.264,2614579.544,4
澎湖縣,9.44009E+20,303968.037,2614481.791,4
澎湖縣,9.44009E+20,304213.939,2614661.679,4
澎湖縣,9.44009E+20,304097.47,2614709.708,4
澎湖縣,9.44009E+20,304145.999,2614487.562,4
澎湖縣,7.49003E+20,300359.2,2607306.28,0
澎湖縣,7.49002E+20,300376.034,2607292.128,4
澎湖縣,7.43001E+20,302718.463,2614838.851,4
澎湖縣,7.49002E+20,302116.81,2612167.299,0
澎湖縣,7.49003E+20,301658.96,2610349.337,4
澎湖縣,7.49002E+20,301411.757,2608386.623,4
澎湖縣,7.49002E+20,302061.863,2612141.493,0
澎湖縣,7.49003E+20,301348.904,2608321.186,0
澎湖縣,7.49003E+20,302412.387,2613431.291,0
澎湖縣,7.49003E+20,301951.006,2610622.247,0
澎湖縣,7.62E+20,301683.788,2609688.083,4
澎湖縣,7.49003E+20,302005.161,2610963.293,4
澎湖縣,7.49003E+20,301089.146,2607890.496,4
澎湖縣,7.49003E+20,301718.656,2610750.332,4
澎湖縣,7.43001E+20,299252.828,2606964.432,4
澎湖縣,7.49003E+20,301624.606,2610514.537,4
澎湖縣,7.49002E+20,301670.21,2610294.565,4
澎湖縣,7.49002E+20,301620.025,2608548.25,4
澎湖縣,7.49003E+20,302452.288,2613881.766,0
澎湖縣,7.49003E+20,301874.388,2612674.187,4
澎湖縣,7.49003E+20,302120.776,2612530.991,4
澎湖縣,7.49002E+20,302346.676,2611448.181,4
澎湖縣,7.49002E+20,302114.427,2612529.433,4
澎湖縣,7.49002E+20,301993.385,2612639.712,4
澎湖縣,7.49002E+20,302347.408,2611448.611,4
澎湖縣,7.49003E+20,300891.74,2607660.51,4
澎湖縣,7.49003E+20,300605.69,2607466.127,4
澎湖縣,7.49003E+20,298980.563,2607227.02,4
澎湖縣,7.49003E+20,302571.647,2614382.771,0
澎湖縣,7.49003E+20,299920.221,2607110.508,0
澎湖縣,7.49002E+20,302451.718,2611653.383,0
澎湖縣,7.49003E+20,302581.212,2611252.759,4
澎湖縣,7.49002E+20,301674.738,2609691.983,0
澎湖縣,7.49003E+20,301616.314,2608593.593,0
澎湖縣,7.49002E+20,301698.043,2609246.9,4
澎湖縣,7.49003E+20,301681.044,2609451.597,4
澎湖縣,7.49003E+20,301613.833,2608955.713,0
澎湖縣,7.49002E+20,302389.618,2613373.271,4
澎湖縣,7.49002E+20,302015.42,2612874.347,4
澎湖縣,7.49003E+20,302527.2,2612111.143,0
澎湖縣,7.49003E+20,302445.632,2612568.199,0
澎湖縣,7.49003E+20,302733.336,2614726.012,0
澎湖縣,7.49003E+20,301874.616,2610908.813,4
澎湖縣,7.49003E+20,301237.109,2607957.099,4
澎湖縣,7.49002E+20,301227.581,2607777.854,4
澎湖縣,7.49002E+20,299264.006,2607028.673,4
澎湖縣,7.49002E+20,299073.615,2606978.874,4
澎湖縣,7.49002E+20,301666.134,2610146.237,0
澎湖縣,7.49002E+20,301198.765,2607991.459,4
澎湖縣,7.49002E+20,303066.833,2614428.177,4
澎湖縣,7.49003E+20,301685.388,2609640.725,4
澎湖縣,7.49003E+20,301939.806,2610853.464,0
澎湖縣,7.49003E+20,302176.298,2608739.139,0
澎湖縣,7.49003E+20,302176.808,2608768.608,4
澎湖縣,7.49003E+20,302380.727,2607760.319,4
澎湖縣,7.49003E+20,300618.468,2607432.94,4
澎湖縣,7.49003E+20,301188.1,2607688.874,4
澎湖縣,7.49002E+20,301320.556,2607940.357,4
澎湖縣,7.49003E+20,300603.451,2607441.446,4
澎湖縣,7.42004E+20,302306.134,2609994.286,4
澎湖縣,7.42004E+20,302720.764,2610458.75,4
澎湖縣,7.49003E+20,303275.374,2614409.324,4
澎湖縣,7.49003E+20,303240.683,2614343.15,4
澎湖縣,7.49003E+20,302902.868,2611297.653,4
澎湖縣,7.49003E+20,301625.081,2610654.319,4
澎湖縣,7.49002E+20,302015.71,2610816.113,0
澎湖縣,7.49003E+20,302206.642,2611202.344,4
澎湖縣,7.49003E+20,303008.506,2611483.477,4
澎湖縣,7.49002E+20,299137.067,2607083.718,4
澎湖縣,9.44009E+20,302455.111,2611381.342,4
澎湖縣,9.44009E+20,303219.953,2610660.618,4
澎湖縣,9.44009E+20,301798.861,2611548.181,4
澎湖縣,9.44009E+20,301957.607,2611500.934,4
澎湖縣,9.44009E+20,303080.773,2611050.317,4
澎湖縣,9.44009E+20,302915.841,2611120.221,4
澎湖縣,9.44009E+20,303183.912,2611011.853,4
