所在縣市,識別碼,栓位X坐標(TWD97),栓位Y坐標(TWD97),消防栓形態(種類編碼)
臺中市,0462006216867300340037,217307.978,2673196.462,4
臺中市,0462006216867300340015,217028.387,2673241.691,4
臺中市,0462006216867300340020,217082.376,2673262.028,4
臺中市,0462006217667300340008,217720.052,2673334.704,4
臺中市,0462006216867300340058,217491.661,2673139.844,4
臺中市,0462006216867300340022,217118.989,2673147.238,4
臺中市,0462006216867300340011,216984.117,2673131.811,4
臺中市,0462006216867300340042,217328.801,2673142.195,4
臺中市,0462006216867300340048,217399.763,2673341.391,4
臺中市,0462006216867300340032,217209.17,2673345.286,4
臺中市,0462006216867300340016,217043.411,2673351.903,4
臺中市,0462006216867300340008,216897.876,2673316.905,4
臺中市,0462006216867300300006,216885.786,2673325.944,0
臺中市,0462006216867300300063,217562.067,2673267.264,0
臺中市,0462006216867300300045,217386.526,2673180.481,0
臺中市,0462006216867300300044,217385.69,2673229.26,0
臺中市,0462006216867300300046,217388.703,2673278.783,0
臺中市,0462006216867300300053,217454.433,2673281.581,0
臺中市,0462006216867300300026,217142.037,2673263.046,0
臺中市,0462006216867300300038,217316.331,2673230.837,0
臺中市,0462006216867300300040,217318.912,2673279.057,0
臺中市,0462006216867300300030,217192.464,2673329.256,0
臺中市,0462006216867300300029,217161.948,2673342.91,0
臺中市,0462006216867300300071,217599.891,2673226.613,0
臺中市,0462006216867300300062,217561.204,2673182.676,0
臺中市,0462006216867300300059,217509.615,2673223.493,0
臺中市,0462006213667420340006,213712.521,2674310.253,4
臺中市,0462006213667420300002,213641.073,2674391.418,0
臺中市,0462006213667360300038,214163.721,2673826.196,0
臺中市,0462006213667360340033,214128.791,2673912.591,4
臺中市,0462006213667360340036,214152.209,2673947.41,4
臺中市,0462006213667360340025,214002.269,2674132.776,4
臺中市,0462006213667420340008,213719.684,2674251.019,4
臺中市,0462006213667360340023,213989.054,2674043.384,4
臺中市,0462006212867420340044,213563.175,2674275.0,4
臺中市,0462006213667360340007,213713.634,2674163.05,4
臺中市,0462006213667420340010,213735.181,2674600.759,4
臺中市,0462006212867420340045,213568.504,2674291.251,4
臺中市,0462006213667360340016,213883.521,2674180.747,4
臺中市,0462006213667420340015,213811.369,2674306.778,4
臺中市,0462006213667420340020,213882.565,2674302.363,4
臺中市,0462006213667420340022,213934.079,2674218.204,4
臺中市,0462006213667420340017,213852.158,2674453.035,4
臺中市,0462006213667420340014,213803.578,2674575.863,4
臺中市,0462006213667420340063,213924.656,2674491.283,4
臺中市,0462006213667420340057,214119.794,2674364.174,4
臺中市,0462006213667420340058,214030.915,2674441.927,4
臺中市,0462006213667420340059,214108.599,2674277.379,4
臺中市,0462006213667420340060,213964.276,2674319.342,4
臺中市,0462006213667420340061,214002.434,2674284.766,4
臺中市,0462006213667420340064,213880.288,2674377.199,4
臺中市,0462006213667420340062,213969.795,2674473.968,4
臺中市,0462006213667420300041,214321.221,2674243.452,0
臺中市,0462006213667360300037,214162.13,2674198.75,0
臺中市,0462006213667360320034,214138.671,2673993.892,2
臺中市,0462006213667420300029,214089.628,2674366.731,0
臺中市,0462006213667360320027,214048.588,2674095.93,2
臺中市,0462006213667360340031,214105.522,2674135.978,4
臺中市,0462006213667420340027,214018.321,2674334.204,4
臺中市,0462006213667360340051,214348.632,2674030.414,4
臺中市,0462006213667360340048,214269.82,2674112.147,4
臺中市,0462006213667360340043,214241.594,2673987.294,4
臺中市,0462006213667360340042,214238.953,2673893.488,4
臺中市,0462006213667360340024,213991.553,2674182.69,4
臺中市,0462006213667420340024,213964.91,2674337.69,4
臺中市,0462006213667420340028,214089.022,2674448.529,4
臺中市,0462006213667420340032,214116.758,2674253.584,4
臺中市,0462006213667420340040,214314.176,2674259.895,4
臺中市,0462006213667420340033,214173.176,2674385.177,4
臺中市,0462006213667420340035,214203.826,2674352.307,4
臺中市,0462006213667420340021,213917.16,2674251.428,4
臺中市,0462006213667360340045,214253.912,2673940.746,4
臺中市,0462006213667360340041,214232.067,2673979.451,4
臺中市,0462006213667360340040,214182.016,2674026.999,4
臺中市,0462006213667420340019,213879.602,2674358.324,4
臺中市,0462006213667420340018,213871.202,2674398.721,4
臺中市,0462006213667420340016,213842.835,2674529.375,4
臺中市,0462006213667420340013,213780.872,2674616.25,4
臺中市,0462006214467420300032,214886.184,2674786.769,0
臺中市,0462006214467420300031,214891.801,2674795.728,0
臺中市,0462006214467420300030,214788.071,2674796.079,0
臺中市,0462006214467420300029,214679.888,2674796.379,0
臺中市,0462006214467420300028,214639.87,2674771.061,0
臺中市,0462006214467420300027,214606.74,2674787.938,0
臺中市,0462006214467420300026,214621.364,2674670.321,0
臺中市,0462006214467420340027,214833.791,2674591.688,4
臺中市,0462006214467420340026,214820.718,2674681.19,4
臺中市,0462006214467420300025,214502.083,2674788.047,0
臺中市,0462006214467480300009,214640.68,2674884.704,0
臺中市,0462006214467480300008,214622.782,2674988.277,0
臺中市,0462006214467480300007,214642.377,2675094.85,0
臺中市,0462006214467480300006,214624.98,2675293.042,0
臺中市,0462006214467540300002,214644.216,2675404.84,0
臺中市,0462006214467480340006,214774.489,2675229.277,0
臺中市,0462006214467480340005,214904.285,2675228.698,0
臺中市,0462006214467480340004,214912.083,2675219.768,0
臺中市,0462006214467480340003,214819.066,2675133.659,4
臺中市,0462006214467480340002,214825.102,2675051.218,4
臺中市,0462006214467480340001,214812.511,2674901.777,4
臺中市,0462006214467420340025,214496.72,2674686.935,4
臺中市,0462006213667420300043,214367.724,2674781.748,0
臺中市,0462006213667420300037,214236.728,2674702.855,0
臺中市,0462006213667420300031,214098.746,2674701.456,0
臺中市,0462006213667420300036,214234.598,2674776.487,0
臺中市,0462006214467420300002,214454.978,2674713.87,0
臺中市,0462006213667480300024,214078.056,2675061.055,0
臺中市,0462006214467480300005,214458.251,2674836.22,0
臺中市,0462006214467480300012,214945.712,2675040.621,0
臺中市,0462006213667480340027,214082.04,2674857.912,4
臺中市,0462006214467480300011,214643.332,2675194.056,0
臺中市,0462006214467480300013,214946.009,2674985.906,0
臺中市,0462006214467540300027,214905.651,2675594.633,0
臺中市,0462006214467540300026,214895.932,2675617.281,0
臺中市,0462006219267000340012,219427.029,2670587.791,4
臺中市,0462006219267060340008,219280.861,2670676.767,4
臺中市,0462006219267000300005,219277.639,2670594.253,0
臺中市,0462006219267060300012,219310.095,2670795.963,0
臺中市,0462006219267060300014,219351.292,2670671.532,0
臺中市,0462006219267060340011,219309.88,2670849.924,4
臺中市,0462006219267060300017,219420.229,2670613.639,0
臺中市,0462006219267000340017,219506.659,2670573.8,4
臺中市,0462006219267060300016,219412.998,2670799.3,0
臺中市,0462006219267060300018,219423.305,2670815.25,0
臺中市,0462006219267060300009,219284.06,2670667.301,0
臺中市,0462006219267000300048,219489.814,2670576.244,0
臺中市,0462006219267060340023,219497.893,2670884.373,4
臺中市,0462006218467060340050,219183.762,2670719.622,4
臺中市,0462006219267060350001,219228.916,2670851.172,4
臺中市,0462006219267060300004,219249.637,2671048.117,0
臺中市,0462006218467060300048,219174.819,2670830.536,0
臺中市,0462006218467060300047,219166.881,2670647.974,0
臺中市,0462006219267060300015,219373.816,2671071.512,0
臺中市,0462006218467060300045,219136.399,2670612.078,0
臺中市,0462006218467060320038,219052.595,2670665.338,2
臺中市,0462006219267060300010,219309.119,2671061.179,0
臺中市,0462006219267060300005,219260.387,2670928.313,0
臺中市,0462006219267060300063,219420.308,2670613.982,0
臺中市,0462006219267060300062,219421.478,2670810.96,0
臺中市,0462006219267060300061,219309.898,2670850.35,0
臺中市,0462006218467060340051,219185.452,2670861.144,4
臺中市,0462006219267060340021,219478.284,2671076.266,4
臺中市,0462006219267060340022,219490.154,2670957.303,4
臺中市,0462006219267060340002,219243.046,2670859.347,4
臺中市,0462006219267060340003,219243.679,2670932.074,4
臺中市,0462006219267060340013,219330.366,2671070.936,4
臺中市,0462006219267060340065,219226.744,2670850.533,4
臺中市,0462006219267060340069,219516.667,2670710.201,4
臺中市,0462006219267060340068,219413.865,2670704.349,4
臺中市,0462006219267060340067,219302.59,2670793.004,4
臺中市,0462006219267060340066,219283.812,2670667.264,4
臺中市,0462006218467060340039,219062.708,2671025.096,4
臺中市,0462006218467060300037,219044.582,2670870.073,0
臺中市,0462006218467060300040,219080.756,2670870.521,0
臺中市,0462006218467060300032,218956.25,2670875.002,0
臺中市,0462006218467060300035,218976.659,2670836.723,0
臺中市,0462006218467060300049,219176.544,2671038.72,0
臺中市,0462006218467060300043,219096.01,2670850.493,0
臺中市,0462006218467060300034,218970.366,2670876.357,0
臺中市,0462006218467060300033,218956.296,2671075.084,0
臺中市,0462006214467300340076,214649.885,2673423.888,4
臺中市,0462006214467300300069,214597.11,2673374.527,0
臺中市,0462006214467300340074,214441.979,2673123.529,4
臺中市,0462006214467300340075,214515.532,2673248.581,4
臺中市,0462006214467300320002,214636.513,2673470.68,2
臺中市,0462006214467300320001,214609.686,2673444.286,2
臺中市,0462006214467300300008,214489.684,2673567.221,0
臺中市,0462006214467300340069,214983.941,2673318.428,4
臺中市,0462006214467300340070,214971.34,2673276.537,4
臺中市,0462006214467300340071,214912.625,2673205.465,4
臺中市,0462006214467300340072,214884.348,2673154.936,4
臺中市,0462006214467300340073,214839.522,2673078.294,4
臺中市,0462006214467300340035,214891.282,2673005.415,4
臺中市,0462006214467300340014,214549.985,2673016.557,4
臺中市,0462006214467300340030,214800.763,2673073.511,4
臺中市,0462006214467300340050,215100.499,2673197.81,4
臺中市,0462006214467240340023,214859.61,2672984.725,4
臺中市,0462006214467300340019,214649.845,2673424.0,4
臺中市,0462006214467300340041,214951.316,2673278.829,4
臺中市,0462006214467300300003,214414.013,2673484.092,0
臺中市,0462006214467300300026,214756.631,2673288.741,0
臺中市,0462006214467300300007,214441.154,2673219.892,0
臺中市,0462006214467300300040,214950.274,2673033.644,0
臺中市,0462006214467300300048,215057.623,2673280.13,0
臺中市,0462006214467240300011,214631.826,2672967.603,0
臺中市,0462006214467300300027,214774.31,2673092.099,0
臺中市,0462006214467300300022,214724.468,2673122.677,0
臺中市,0462006214467300300024,214733.109,2673129.926,0
臺中市,0462006214467300300016,214613.794,2673041.357,0
臺中市,0462006214467300300013,214540.942,2673152.009,0
臺中市,0462006214467300300018,214637.649,2673199.517,0
