所在縣市,識別碼,栓位X坐標(TWD97),栓位Y坐標(TWD97),消防栓形態(種類編碼)
花蓮縣,9.61004E+20,311949.012,2652417.157,4
花蓮縣,9.61004E+20,311841.146,2652563.876,4
花蓮縣,9.61004E+20,311946.591,2652523.964,4
花蓮縣,9.61004E+20,311841.975,2652620.033,4
花蓮縣,9.61004E+20,312062.99,2652382.37,4
花蓮縣,9.61004E+20,311993.019,2652341.278,4
花蓮縣,9.61004E+20,312251.692,2652527.89,0
花蓮縣,9.61004E+20,312257.184,2652555.298,0
花蓮縣,9.61004E+20,312204.602,2652641.822,4
花蓮縣,9.61004E+20,312451.137,2652517.475,4
花蓮縣,9.61004E+20,312074.913,2652529.034,4
花蓮縣,9.61004E+20,312132.897,2652590.73,4
花蓮縣,9.61004E+20,312204.342,2652486.349,4
花蓮縣,9.61004E+20,312155.817,2652396.938,4
花蓮縣,9.61004E+20,312166.532,2652402.752,4
花蓮縣,9.61004E+20,312316.85,2652359.826,4
花蓮縣,9.61004E+20,312275.32,2652542.56,4
花蓮縣,9.61004E+20,312244.696,2652407.902,4
花蓮縣,9.46003E+20,312779.276,2653348.745,4
花蓮縣,9.61004E+20,312895.888,2653945.123,4
花蓮縣,9.61004E+20,312804.297,2654178.681,4
花蓮縣,9.61004E+20,312830.626,2654212.379,4
花蓮縣,9.61004E+20,313255.62,2654043.921,4
花蓮縣,9.61004E+20,313470.72,2654205.548,4
花蓮縣,9.46003E+20,312769.79,2653344.223,4
花蓮縣,9.61004E+20,312786.848,2654446.593,4
花蓮縣,9.61004E+20,312787.987,2654180.864,4
花蓮縣,9.61004E+20,312619.326,2653795.464,4
花蓮縣,9.61004E+20,313295.209,2654579.235,4
花蓮縣,9.61004E+20,312558.402,2653711.27,2
花蓮縣,9.61004E+20,312417.801,2653547.623,4
花蓮縣,9.61004E+20,313319.367,2654518.138,4
花蓮縣,9.61004E+20,313359.519,2654315.646,4
花蓮縣,9.61004E+20,313116.478,2653693.117,4
花蓮縣,9.61004E+20,313327.746,2654130.501,4
花蓮縣,9.61004E+20,313622.828,2654278.892,0
花蓮縣,9.61004E+20,313497.356,2654296.22,4
花蓮縣,9.61004E+20,313295.252,2654325.24,4
花蓮縣,9.61004E+20,313468.057,2654399.075,2
花蓮縣,9.61004E+20,312563.056,2653242.77,4
花蓮縣,9.61004E+20,313411.437,2654303.721,4
花蓮縣,9.61004E+20,313326.975,2654047.594,0
花蓮縣,9.61004E+20,313298.028,2653851.82,4
花蓮縣,9.61004E+20,313273.941,2653804.694,4
花蓮縣,9.61004E+20,312475.819,2653616.504,2
花蓮縣,9.61004E+20,313265.397,2654166.555,4
花蓮縣,9.61004E+20,313520.975,2654150.99,4
花蓮縣,9.61004E+20,312760.149,2653979.943,4
花蓮縣,9.61004E+20,312738.392,2653979.195,4
花蓮縣,9.61004E+20,312788.812,2654467.368,4
花蓮縣,9.61004E+20,312820.609,2654420.593,4
花蓮縣,9.61004E+20,313359.672,2654322.381,4
花蓮縣,9.61004E+20,312871.164,2654390.853,2
花蓮縣,9.61004E+20,313424.198,2654011.666,4
花蓮縣,9.61004E+20,313325.87,2653880.591,4
花蓮縣,9.61004E+20,313001.422,2653689.436,4
花蓮縣,9.61004E+20,312667.001,2653380.222,4
花蓮縣,9.61004E+20,313168.241,2654967.444,4
花蓮縣,9.61004E+20,313424.021,2654018.781,4
花蓮縣,9.61004E+20,313185.372,2653744.319,4
花蓮縣,9.61004E+20,313084.703,2653690.501,4
花蓮縣,9.61004E+20,313047.595,2653701.816,4
花蓮縣,9.61004E+20,312813.94,2654667.408,4
花蓮縣,9.61004E+20,312575.597,2653434.42,4
花蓮縣,9.61004E+20,312715.843,2653292.747,4
花蓮縣,9.61004E+20,312871.052,2654639.113,4
花蓮縣,9.61004E+20,312860.73,2654676.875,4
花蓮縣,9.61004E+20,312865.083,2654233.034,4
花蓮縣,9.61004E+20,312873.799,2654612.035,4
花蓮縣,9.61004E+20,313455.339,2654321.274,4
花蓮縣,9.61004E+20,312799.213,2653963.518,4
花蓮縣,9.61004E+20,312778.569,2654117.686,4
花蓮縣,9.61004E+20,313437.044,2653989.667,4
花蓮縣,9.61004E+20,312890.316,2654092.537,4
花蓮縣,9.61004E+20,312739.196,2654130.762,0
花蓮縣,9.46003E+20,313002.331,2653467.56,4
花蓮縣,9.61004E+20,313214.91,2654813.249,4
花蓮縣,9.61004E+20,312986.922,2653485.083,4
花蓮縣,9.61004E+20,313296.351,2653894.806,4
花蓮縣,9.61004E+20,312988.25,2653606.163,4
花蓮縣,9.61004E+20,313035.934,2653614.541,4
花蓮縣,9.61004E+20,313008.962,2653760.277,4
花蓮縣,9.61004E+20,312958.215,2654778.02,4
花蓮縣,9.61004E+20,312956.875,2654095.356,4
花蓮縣,9E+20,312892.85,2653486.607,0
花蓮縣,9.61004E+20,312969.436,2654224.517,4
花蓮縣,9.61004E+20,312984.982,2654379.549,4
花蓮縣,9.46003E+20,312873.277,2653601.295,4
花蓮縣,9.61004E+20,313572.646,2654203.574,4
花蓮縣,9.46003E+20,312906.907,2653768.138,4
花蓮縣,9.61004E+20,312752.366,2654463.827,0
花蓮縣,9.61004E+20,312660.653,2653903.142,4
花蓮縣,9.61004E+20,312759.696,2653573.98,4
花蓮縣,9.61004E+20,312883.107,2654024.995,4
花蓮縣,9.61004E+20,312401.72,2653541.79,4
花蓮縣,9.61004E+20,312388.05,2653598.94,4
花蓮縣,9.61004E+20,311452.221,2653230.765,4
花蓮縣,9.61004E+20,311504.747,2653289.409,4
花蓮縣,9.61004E+20,311533.439,2653249.039,4
花蓮縣,9.61004E+20,311159.001,2653220.8,4
花蓮縣,9.46003E+20,311411.324,2653309.697,4
花蓮縣,9.61004E+20,311313.751,2653110.116,4
花蓮縣,9.61004E+20,311587.066,2653174.625,4
花蓮縣,9.61004E+20,311286.447,2653222.437,4
花蓮縣,9.61004E+20,311452.145,2653056.363,4
花蓮縣,9.61004E+20,311507.928,2653221.644,4
花蓮縣,9.61004E+20,311617.365,2653134.855,4
花蓮縣,9.61004E+20,311452.953,2653240.1,4
花蓮縣,9.61004E+20,311308.632,2653054.581,4
花蓮縣,9.61004E+20,311468.533,2653193.409,4
花蓮縣,9.61004E+20,311584.039,2653089.85,0
花蓮縣,9.61004E+20,311141.428,2653144.305,4
花蓮縣,9.61004E+20,311241.644,2653069.688,4
花蓮縣,9.61004E+20,311488.728,2653110.528,4
花蓮縣,9.61004E+20,311419.525,2653159.075,4
花蓮縣,9.61004E+20,311460.654,2653130.641,4
花蓮縣,9.61004E+20,311529.577,2653201.998,4
花蓮縣,9.61004E+20,311182.312,2653145.297,4
花蓮縣,9.61004E+20,311338.809,2653234.219,4
花蓮縣,9.61004E+20,311431.302,2653090.762,4
花蓮縣,9.46003E+20,311374.251,2653139.895,4
花蓮縣,9.61004E+20,311381.732,2653220.29,4
花蓮縣,9.61004E+20,311281.75,2653140.013,4
花蓮縣,9.61004E+20,310706.655,2654427.001,4
花蓮縣,9.46003E+20,310717.351,2654988.734,4
花蓮縣,9.46003E+20,310679.618,2654651.876,4
花蓮縣,9.21002E+20,310507.858,2654727.593,4
花蓮縣,9.61004E+20,310774.897,2654595.154,4
花蓮縣,9.61004E+20,310809.593,2654890.598,0
花蓮縣,9.61004E+20,310888.216,2655118.069,4
花蓮縣,9.61004E+20,310669.488,2654643.38,2
花蓮縣,9.61004E+20,310944.267,2654508.92,0
花蓮縣,9.61004E+20,310646.677,2654900.429,4
花蓮縣,9.61004E+20,310864.335,2654341.622,4
花蓮縣,9.61004E+20,310685.823,2654868.237,4
花蓮縣,9.61004E+20,310831.281,2654971.393,0
花蓮縣,9.61004E+20,311111.592,2655061.496,0
花蓮縣,9.61004E+20,311018.538,2655046.024,0
花蓮縣,9.61004E+20,311009.909,2654933.122,0
花蓮縣,9.61004E+20,311118.703,2654867.137,0
花蓮縣,9.61004E+20,310902.699,2654701.834,0
花蓮縣,9.61004E+20,310583.811,2654820.586,4
花蓮縣,9.61004E+20,311076.097,2654625.596,0
花蓮縣,9.61004E+20,311235.503,2654914.403,0
花蓮縣,9.61004E+20,311060.442,2654754.733,0
花蓮縣,9.61004E+20,311128.076,2654725.097,0
花蓮縣,9.61004E+20,311009.338,2654651.956,0
花蓮縣,9.61004E+20,310867.397,2654775.421,0
花蓮縣,9.61004E+20,310774.129,2654737.493,0
花蓮縣,9.61004E+20,310669.653,2654841.191,0
花蓮縣,9.61004E+20,310857.308,2654474.515,0
花蓮縣,9.61004E+20,310834.177,2654558.843,0
花蓮縣,9.61004E+20,311037.199,2654522.8,0
花蓮縣,9.61004E+20,310978.715,2654392.434,0
花蓮縣,9.61004E+20,310729.307,2654637.312,0
花蓮縣,9.61004E+20,310951.417,2654804.288,0
花蓮縣,9.61004E+20,310718.276,2654892.02,0
花蓮縣,9.61004E+20,310836.583,2655049.538,0
花蓮縣,9.61004E+20,311020.165,2655114.937,0
花蓮縣,9.61004E+20,310717.79,2654782.333,0
花蓮縣,9.61004E+20,310571.96,2654718.769,0
花蓮縣,9.61004E+20,310784.693,2654426.951,0
花蓮縣,9.61004E+20,310866.728,2654630.418,0
花蓮縣,9.61004E+20,310694.051,2654558.33,0
花蓮縣,9.61004E+20,310964.542,2654348.901,4
花蓮縣,9.61004E+20,310964.394,2655079.678,4
花蓮縣,9.21002E+20,311082.076,2655040.893,4
花蓮縣,9.61004E+20,311236.579,2654988.553,0
花蓮縣,9.61004E+20,310905.796,2654992.112,0
花蓮縣,9.61004E+20,312981.852,2655575.497,4
花蓮縣,9.61004E+20,312305.577,2654873.497,2
花蓮縣,9.61004E+20,312703.377,2654958.875,4
花蓮縣,9.61004E+20,312858.382,2655890.838,4
花蓮縣,9.61004E+20,312804.839,2655685.798,0
花蓮縣,9.61004E+20,312839.724,2654964.682,4
花蓮縣,9.61004E+20,312734.306,2655661.954,4
花蓮縣,9.61004E+20,312821.153,2655612.917,4
花蓮縣,9.61004E+20,312922.598,2655636.86,4
花蓮縣,9.61004E+20,312904.594,2655602.076,4
花蓮縣,9.61004E+20,312165.174,2654388.887,0
花蓮縣,9.61004E+20,312139.23,2654229.727,0
花蓮縣,9.61004E+20,312822.247,2655112.603,0
花蓮縣,9.61004E+20,313152.714,2655167.381,4
花蓮縣,9.61004E+20,313155.248,2655218.777,4
花蓮縣,9.61004E+20,312864.357,2655654.468,4
花蓮縣,9.61004E+20,312909.087,2655695.597,4
花蓮縣,9.61004E+20,312807.369,2655670.259,4
花蓮縣,9.61004E+20,312725.15,2655590.894,4
花蓮縣,9.61004E+20,312734.263,2655561.694,4
花蓮縣,9.61004E+20,312786.914,2655636.606,4
花蓮縣,9.61004E+20,312705.024,2654836.158,4
花蓮縣,9.61004E+20,312187.925,2655263.527,4
花蓮縣,9.61004E+20,313058.947,2655382.119,4
花蓮縣,9.61004E+20,312836.208,2655527.879,0
花蓮縣,9.61004E+20,312824.733,2655583.42,4
花蓮縣,9.61004E+20,312905.711,2655713.787,0
花蓮縣,9.61004E+20,312784.536,2654877.284,0
花蓮縣,9.61004E+20,312730.295,2655012.4,4
花蓮縣,9.61004E+20,312731.869,2654958.97,4
花蓮縣,9.61004E+20,312676.597,2654975.603,4
花蓮縣,9.61004E+20,312699.927,2654937.159,4
花蓮縣,9.61004E+20,312722.725,2654910.801,4
花蓮縣,9.61004E+20,312782.956,2654989.952,4
花蓮縣,9.61004E+20,312780.427,2654944.509,4
花蓮縣,9.61004E+20,312668.208,2655189.003,4
花蓮縣,9.61004E+20,313064.156,2655320.318,4
花蓮縣,9.61004E+20,312923.031,2655848.548,4
花蓮縣,9.61004E+20,312459.592,2655352.16,4
花蓮縣,9.61004E+20,312968.391,2655703.455,4
花蓮縣,9.61004E+20,312721.719,2655605.845,4
花蓮縣,9.61004E+20,312887.037,2655567.013,4
花蓮縣,9.61004E+20,312837.763,2655711.436,4
花蓮縣,9.61004E+20,312889.501,2655537.352,4
花蓮縣,9.61004E+20,312941.475,2655559.653,0
花蓮縣,9.61004E+20,312556.15,2654900,0
花蓮縣,9.61004E+20,312697.977,2655393.599,4
花蓮縣,9.61004E+20,303188.573,2638795.455,4
花蓮縣,9.61004E+20,303073.961,2638870.381,4
花蓮縣,9.61004E+20,301866.762,2636509.985,4
花蓮縣,9.61004E+20,301688.323,2636480.483,4
花蓮縣,9.61004E+20,301715.843,2636480.841,4
花蓮縣,9.61004E+20,301809.651,2636665.369,4
花蓮縣,9.61004E+20,301936.098,2636857.272,4
花蓮縣,9.61004E+20,301579.229,2636312.273,4
花蓮縣,9.61004E+20,301600.642,2636298.752,4
花蓮縣,9.61004E+20,302403.076,2637575.859,4
花蓮縣,9.61004E+20,300956.209,2635690.719,4
花蓮縣,9.61004E+20,301989.867,2636697.556,4
花蓮縣,9.61004E+20,302870.153,2638234.093,4
花蓮縣,9.61004E+20,301840,2636669.818,4
花蓮縣,9.61004E+20,301961.656,2636854.353,4
花蓮縣,9.61004E+20,302177.832,2637246.05,4
花蓮縣,9.61004E+20,303248.222,2639010.785,4
花蓮縣,9.61004E+20,303211.116,2638674.215,4
花蓮縣,9.61004E+20,303166.413,2638687.082,4
花蓮縣,9.61004E+20,300338.383,2637915.69,4
花蓮縣,9.61004E+20,301009.953,2638154.997,4
花蓮縣,9.61004E+20,301769.9,2637514.554,4
花蓮縣,9.61004E+20,300809.852,2637875.574,4
花蓮縣,9.61004E+20,300569.229,2638168.026,4
花蓮縣,9.61004E+20,300667.823,2637969.795,4
花蓮縣,9.61004E+20,300296.582,2637756.463,4
花蓮縣,9.61004E+20,300637.097,2638258.211,4
花蓮縣,9.61004E+20,301520.164,2637918.804,4
花蓮縣,9.61004E+20,301561.692,2637864.841,4
花蓮縣,9.61004E+20,301473.561,2637730.995,4
花蓮縣,9.61004E+20,300967.446,2638040.896,4
花蓮縣,9.61004E+20,300260.984,2637705.146,4
花蓮縣,9.61004E+20,300765.209,2637637.847,4
