所在縣市,識別碼,栓位X坐標(TWD97),栓位Y坐標(TWD97),消防栓形態(種類編碼)
苗栗縣,3.45E+20,231953.288,2717583.092,4
苗栗縣,3.45E+20,231323.686,2717250.124,4
苗栗縣,3.45E+20,231952.852,2717757.642,4
苗栗縣,3.45E+20,231877.483,2717535.923,4
苗栗縣,3.45E+20,231685.186,2717695.112,4
苗栗縣,3.45E+20,231964.767,2717696.861,4
苗栗縣,3.45E+20,231942.752,2717587.667,4
苗栗縣,3.45E+20,231825.755,2717550.397,4
苗栗縣,3.45E+20,231917.267,2717630.043,4
苗栗縣,3.45E+20,231535.183,2717451.229,4
苗栗縣,3.45E+20,231412.891,2717550.29,4
苗栗縣,3.45E+20,231903.363,2717574.585,4
苗栗縣,3.45E+20,231957.094,2717637.186,4
苗栗縣,3.45E+20,231657.694,2717592.316,4
苗栗縣,3.45E+20,231471.464,2717541.431,4
苗栗縣,3.45E+20,231583.407,2717650.668,4
苗栗縣,3.45E+20,231523.483,2717734.948,4
苗栗縣,3.45E+20,231853.146,2717680.811,4
苗栗縣,3.45E+20,231524.728,2717438.809,4
苗栗縣,3.45E+20,231713.579,2717084.158,4
苗栗縣,3.45E+20,231723.828,2717087.711,4
苗栗縣,3.45E+20,231590.574,2716978.289,4
苗栗縣,3.45E+20,231703.454,2717224.734,4
苗栗縣,3.45E+20,231714.404,2717082.037,4
苗栗縣,3.45E+20,231341.875,2717149.461,4
苗栗縣,3.45E+20,231436.529,2717191.951,4
苗栗縣,3.45E+20,231483.72,2717300.283,4
苗栗縣,3.45E+20,231324.556,2717243.443,4
苗栗縣,3.45E+20,231902.43,2717367.97,4
苗栗縣,3.45E+20,232003.396,2717658.678,4
苗栗縣,3.45E+20,231924.11,2717241.751,0
苗栗縣,3.45E+20,231771.142,2717369.547,0
苗栗縣,3.45E+20,231571.586,2717106.377,0
苗栗縣,3.45E+20,231771.411,2717044.22,0
苗栗縣,3.45E+20,231493.767,2716995.901,0
苗栗縣,3.45E+20,231499.93,2717082.476,0
苗栗縣,3.45E+20,231408.349,2717138.648,0
苗栗縣,3.45E+20,231632.152,2717499.345,4
苗栗縣,3.45E+20,236937.216,2702078.269,4
苗栗縣,3.45E+20,236870.022,2702008.19,4
苗栗縣,3.45E+20,236807.663,2702032.606,4
苗栗縣,3.45E+20,236760.811,2701916.541,4
苗栗縣,3.45E+20,236636.007,2701972.522,4
苗栗縣,3.45E+20,236741.758,2701929.4,4
苗栗縣,3.45E+20,236799.769,2702033.05,4
苗栗縣,3.45E+20,236628.19,2701975.512,4
苗栗縣,3.45E+20,236537.772,2702010.093,4
苗栗縣,3.45E+20,237030.997,2701635.069,4
苗栗縣,3.45E+20,236674.105,2701758.706,4
苗栗縣,3.45E+20,236628.751,2701677.152,4
苗栗縣,3.45E+20,236603.85,2701872.823,4
苗栗縣,3.45E+20,236902.028,2701256.098,4
苗栗縣,3.45E+20,236681.774,2702069.406,4
苗栗縣,3.45E+20,236591.271,2702099.394,4
苗栗縣,3.45E+20,236482.475,2702031.242,4
苗栗縣,3.45E+20,236427.078,2702043.351,4
苗栗縣,3.45E+20,236934.682,2701989.643,4
苗栗縣,3.45E+20,236718.749,2701837.895,4
苗栗縣,3.49008E+20,213950.842,2704995.443,4
苗栗縣,3.49008E+20,214214.365,2704534.561,0
苗栗縣,3.49008E+20,214512.483,2704602.02,0
苗栗縣,3.49008E+20,214716.336,2704766.1,0
苗栗縣,3.49008E+20,214611.577,2704670.256,0
苗栗縣,3.49008E+20,214805.152,2704696.122,0
苗栗縣,3.49008E+20,213766.543,2704957.132,0
苗栗縣,3.49008E+20,214688.579,2704806.482,0
苗栗縣,3.49008E+20,214605.428,2704760.016,0
苗栗縣,3.49008E+20,214249.507,2704936.996,0
苗栗縣,3.49008E+20,214397.956,2704773.356,0
苗栗縣,3.49008E+20,214155.044,2705012.987,0
苗栗縣,3.49008E+20,214565.706,2704372.461,0
苗栗縣,3.49008E+20,214635.108,2704558.392,0
苗栗縣,3.49008E+20,214618.763,2704390.362,0
苗栗縣,3.49008E+20,214719.425,2704813.377,0
苗栗縣,3.49008E+20,214567.725,2704714.334,0
苗栗縣,3.49008E+20,214628.295,2704775.764,0
苗栗縣,3.49008E+20,214613.57,2704353.455,0
苗栗縣,3.49008E+20,214619.943,2704404.428,0
苗栗縣,3.49008E+20,214762.381,2704517.38,0
苗栗縣,3.49008E+20,214701.551,2704468.597,0
苗栗縣,3.49008E+20,213821.548,2705097.742,0
苗栗縣,3.49008E+20,214747.167,2704540.946,0
苗栗縣,3.49008E+20,214238.615,2705085.833,0
苗栗縣,3.49008E+20,213506.249,2704502.801,0
苗栗縣,3.49008E+20,214257.024,2703615.393,0
苗栗縣,3.49008E+20,214122.645,2703459.468,0
苗栗縣,3.49008E+20,214087.603,2703543.526,0
苗栗縣,3.49008E+20,214059.773,2703481.169,0
苗栗縣,3.49008E+20,214395.782,2703845.988,0
苗栗縣,3.49008E+20,214355.969,2703657.797,0
苗栗縣,3.49008E+20,214173.284,2703516.235,0
苗栗縣,3.49008E+20,214023.411,2703392.12,0
苗栗縣,3.49008E+20,214161.245,2703724.308,0
苗栗縣,3.49008E+20,214292.598,2704057.4,0
苗栗縣,3.49008E+20,214472.892,2704503.938,0
苗栗縣,3.49008E+20,214400.945,2704326.387,0
苗栗縣,3.49008E+20,214365.346,2704237.674,0
苗栗縣,3.49008E+20,214252.566,2703958.704,0
苗栗縣,3.49008E+20,214290.102,2703671.019,0
苗栗縣,3.49008E+20,214364.321,2703794.138,0
苗栗縣,3.49008E+20,214327.425,2703732.972,0
苗栗縣,3.49008E+20,214166.192,2703744.581,0
苗栗縣,3.49008E+20,214123.605,2703630.347,0
苗栗縣,3.49008E+20,214135.28,2703668.03,0
苗栗縣,3.49008E+20,214397.076,2704295.993,0
苗栗縣,3.49008E+20,214447.739,2704436.79,0
苗栗縣,3.49008E+20,214533.129,2704335.11,0
苗栗縣,3.49008E+20,214587.101,2704595.882,0
苗栗縣,3.49008E+20,214593.405,2704305.831,0
苗栗縣,3.49008E+20,214426.821,2703915.668,0
苗栗縣,3.49008E+20,214244.038,2703931.935,0
苗栗縣,3.49008E+20,214410.797,2704136.883,0
苗栗縣,3.49008E+20,214403.945,2704308.926,0
