所在縣市,識別碼,栓位X坐標(TWD97),栓位Y坐標(TWD97),消防栓形態(種類編碼)
雲林縣,5.46009E+20,192455.358,2623457.944,0
雲林縣,5.46009E+20,192555.273,2623525.605,0
雲林縣,5.46009E+20,192628.406,2623730.654,4
雲林縣,5.46009E+20,192247.382,2623561.712,4
雲林縣,5.46009E+20,192743.87,2623524.462,0
雲林縣,5.46009E+20,192631.479,2623525.684,0
雲林縣,5.46009E+20,192437.695,2623374.364,0
雲林縣,5.46009E+20,192498.445,2623430.944,0
雲林縣,5.46009E+20,192534.688,2623467.775,0
雲林縣,5.46009E+20,192611.442,2623476.339,0
雲林縣,5.46009E+20,192725.456,2623597.607,0
雲林縣,5.46009E+20,192235.249,2623271.452,0
雲林縣,5.46009E+20,192595.93,2623348.632,0
雲林縣,5.46009E+20,192465.452,2623363.207,0
雲林縣,5.46009E+20,192617.803,2623369.285,0
雲林縣,5.46009E+20,192645.322,2623632.585,0
雲林縣,5.46009E+20,192359.658,2623274.921,0
雲林縣,5.46009E+20,192642.399,2623742.86,4
雲林縣,5.46009E+20,192613.988,2623766.925,0
雲林縣,5.46009E+20,192040.044,2623289.908,0
雲林縣,5.46009E+20,192676.562,2623765.431,0
雲林縣,5.46009E+20,192523.653,2623676.306,0
雲林縣,5.46009E+20,192294.571,2623597.474,4
雲林縣,5.46009E+20,192359.342,2623678.515,4
雲林縣,5.46009E+20,192539.255,2623755.465,0
雲林縣,5.46009E+20,192685.821,2623707.695,0
雲林縣,5.46009E+20,192771.5,2623686.223,0
雲林縣,5.46009E+20,192264.544,2623313.73,0
雲林縣,5.46009E+20,192131.843,2623411.613,0
雲林縣,5.46009E+20,192833.834,2623632.839,0
雲林縣,5.46009E+20,192182.271,2623479.689,4
雲林縣,5.46009E+20,191872.138,2623415.855,0
雲林縣,5.46009E+20,196561.09,2624764.418,0
雲林縣,5.21008E+20,196663.855,2624825.37,0
雲林縣,5.46009E+20,196844.781,2625146.074,4
雲林縣,5.46009E+20,195492.499,2625079.986,0
雲林縣,5.46009E+20,194790.55,2625495.375,0
雲林縣,5.46009E+20,195899.023,2625050.176,0
雲林縣,5.46009E+20,195680.352,2624947.415,0
