所在縣市,識別碼,栓位X坐標(TWD97),栓位Y坐標(TWD97),消防栓形態(種類編碼)
高雄市,7.29006E+20,179260.279,2503899.212,4
高雄市,7.62009E+20,179249.814,2503652.26,4
高雄市,7.62009E+20,179393.984,2503886.616,0
高雄市,7.62009E+20,179249.371,2503740.308,4
高雄市,7E+20,179402.846,2503778.032,0
高雄市,7.63006E+20,179370.477,2503719.899,4
高雄市,7.62009E+20,179395.854,2503686.682,0
高雄市,7.29006E+20,179255.531,2503564.157,4
高雄市,7.62009E+20,179378.496,2503812.667,4
高雄市,7.62009E+20,179396.055,2503726.947,4
高雄市,7.29006E+20,179320.205,2503561.388,2
高雄市,7.62009E+20,179198.908,2503826.658,4
高雄市,7.63006E+20,179272.449,2503821.334,4
高雄市,7.62009E+20,179327.5,2503642.114,4
高雄市,7.62009E+20,179402.267,2503811.395,4
高雄市,7.29006E+20,179227.546,2503574.151,4
高雄市,7.63006E+20,179327.481,2503569.307,4
高雄市,7.63006E+20,179341.312,2503854.236,4
高雄市,7.62009E+20,179151.367,2503737.539,4
高雄市,7.62009E+20,179131.34,2503864.157,4
高雄市,7.62009E+20,179125.253,2503786.804,4
高雄市,7.62009E+20,179156.181,2503578.346,2
高雄市,7.62009E+20,179289.142,2503726.595,4
高雄市,7.63006E+20,179251.99,2503669.368,4
高雄市,7.62009E+20,179387.157,2503598.48,4
高雄市,7.29006E+20,204387.448,2546214.31,4
高雄市,7.29006E+20,203492.766,2546513.727,4
高雄市,7.29006E+20,203267.336,2546707.906,4
高雄市,7.62009E+20,204125.254,2548588.11,0
高雄市,7.62009E+20,177787.287,2501846.441,0
高雄市,7.62009E+20,177821.853,2501897.367,4
高雄市,7.62009E+20,178111.49,2501976.303,0
高雄市,7.62009E+20,177985.402,2501995.883,4
高雄市,7.62009E+20,177921.847,2501893.737,2
高雄市,7.62009E+20,178015.954,2502045.734,4
高雄市,7.62009E+20,177921.426,2501973.278,4
高雄市,7.62009E+20,178045.953,2501937.783,0
高雄市,7.62009E+20,177752.712,2501913.651,4
高雄市,7.62009E+20,177719.843,2501985.487,4
高雄市,7.62009E+20,179426.96,2502435.112,0
高雄市,7.62009E+20,179505.787,2502694.779,4
高雄市,7.62009E+20,179722.532,2502547.309,2
高雄市,7.62009E+20,179540.637,2502588.141,4
高雄市,7.62009E+20,179323.051,2502714.146,0
高雄市,7.62009E+20,179558.563,2502547.26,4
高雄市,7.62009E+20,179372.672,2502579.838,0
高雄市,7.62009E+20,179472.915,2502769.885,4
高雄市,7.62009E+20,179553.608,2502798.182,4
高雄市,7.62009E+20,179740.262,2502522.745,4
高雄市,7.62009E+20,179601.853,2502661.463,4
高雄市,7.62009E+20,179673.309,2502685.693,4
高雄市,7.62009E+20,179653.04,2502517.722,4
高雄市,7.62009E+20,179571.307,2502750.091,4
高雄市,7.62009E+20,180284.486,2502330.053,2
高雄市,7.62009E+20,180153.162,2502286.619,4
高雄市,7.62009E+20,180014.215,2502236.954,4
高雄市,7.62009E+20,179898.768,2502255.207,4
高雄市,7.62009E+20,179899.261,2502218.503,4
高雄市,7.62009E+20,179932.038,2502468.983,4
高雄市,7.62009E+20,180103.046,2502430.063,4
高雄市,7.62009E+20,180056.609,2502575.979,4
高雄市,7.62009E+20,180209.061,2502573.393,4
高雄市,7.62009E+20,180242.684,2502479.296,4
高雄市,7.62009E+20,180190.739,2502617.838,4
高雄市,7.62009E+20,179932.358,2502474.232,4
高雄市,7.62009E+20,179894.142,2502576.227,4
高雄市,7.62009E+20,179964.84,2502381.819,4
高雄市,7.62009E+20,180066.448,2502522.64,4
高雄市,7.62009E+20,179795.329,2502426.607,4
高雄市,7.62009E+20,179807.612,2502505.384,4
高雄市,7.62009E+20,179825.591,2502333.089,4
高雄市,7.41006E+20,198113.756,2544196.592,0
高雄市,7.41006E+20,198904.514,2543326.146,4
高雄市,7.41006E+20,199021.57,2544283.633,0
高雄市,7.41006E+20,198923.672,2543949.974,0
高雄市,7.41006E+20,198828.855,2543458.59,2
